targets	tree	gene	Rho	N	P	p.adj	direction
vl	extsub	HOG1015	-0.005294563764911381	47	0.965287489060738	0.9865277968740805	down
vl	extsub	HOG10160	NA	NA	NA	NA	NA
vl	extsub	HOG10162	-0.05316442066501517	61	0.6168793360668248	0.9252490155211508	down
vl	extsub	HOG10163	NA	NA	NA	NA	NA
vl	extsub	HOG10167	NA	NA	NA	NA	NA
vl	extsub	HOG10174	NA	NA	NA	NA	NA
vl	extsub	HOG10175	0.014177178844004046	61	0.8938711386490852	0.9758031753047817	up
vl	extsub	HOG10177	0.26733029274471265	43	0.03593893057402259	0.769653865364172	up
vl	extsub	HOG10181	-0.010632884133003034	61	0.9203001829411458	0.9819506391026592	down
vl	extsub	HOG10182	0.08358211534077088	53	0.4645896155477253	0.8981975310823236	up
vl	extsub	HOG10185	0.22755175273452183	59	0.03531743432616189	0.7695736346789653	up
vl	extsub	HOG10188	-0.011799872090079811	57	0.9146213878996874	0.9819506391026592	down
vl	extsub	HOG10190	-0.02481006297700708	61	0.8154018422869038	0.9678893587345072	down
vl	extsub	HOG10193	0.16658185141704754	61	0.11698904657737594	0.8497776738799564	up
vl	extsub	HOG10194	0.02481006297700708	61	0.8154018422869038	0.9678893587345072	up
vl	extsub	HOG10196	NA	NA	NA	NA	NA
vl	extsub	HOG10197	0.048494635828668586	59	0.6537616390703052	0.9374712465587589	up
vl	extsub	HOG10198	-0.20889996972349545	59	0.053336852829139844	0.7966358015525591	down
vl	extsub	HOG10199	0.029087239689151997	55	0.7952978836076403	0.966167801993476	up
vl	extsub	HOG10200	-0.10619884881071831	57	0.3345942595854855	0.8687231631193169	down
vl	extsub	HOG10201	-0.027533034876852894	57	0.8024639332364419	0.9678893587345072	down
vl	extsub	HOG10204	-0.13056248107718466	59	0.22719549110006426	0.8533196298019604	down
vl	extsub	HOG10207	-0.1559489672840445	61	0.14224493851159367	0.8497776738799564	down
vl	extsub	HOG10209	0.048494635828668586	59	0.6537616390703052	0.9374712465587589	up
vl	extsub	HOG10212	-0.24101204034806878	61	0.023333657832131805	0.7597806811349321	down
vl	extsub	HOG10216	-0.14886037786204248	61	0.1612803418007505	0.8497776738799564	down
vl	extsub	HOG10217	NA	NA	NA	NA	NA
vl	extsub	HOG10220	-0.16413569049703214	59	0.12897804299196425	0.8497776738799564	down
vl	extsub	HOG10222	NA	NA	NA	NA	NA
vl	extsub	HOG10224	-0.09626669171599593	45	0.4392106838843583	0.8925338441032591	down
vl	extsub	HOG10225	0.07088589422002023	61	0.5047482788338378	0.9019697548233759	up
vl	extsub	HOG10227	-0.12135760728242753	51	0.2979530616081677	0.8533196298019604	down
vl	extsub	HOG10231	-0.010632884133003034	61	0.9203001829411458	0.9819506391026592	down
vl	extsub	HOG10232	-0.24271521456485506	51	0.03737298834065145	0.769653865364172	down
vl	extsub	HOG10233	-0.14397423827750402	49	0.2265155057111556	0.8533196298019604	down
vl	extsub	HOG10235	0.1583661132772501	53	0.16585666034291	0.8497776738799564	up
vl	extsub	HOG10238	-0.007088589422002023	61	0.9468175611581324	0.9837258848247808	down
vl	extsub	HOG10241	0.1275946095960364	61	0.22988031347145332	0.8533196298019604	up
vl	extsub	HOG10242	0.0668659418437856	57	0.5434989501470182	0.9121965087340681	up
vl	extsub	HOG10243	NA	NA	NA	NA	NA
vl	extsub	HOG10244	0.023599744180159622	57	0.8302175917778634	0.9714605712195501	up
vl	extsub	HOG10245	0.05968570563528441	59	0.5809124203331971	0.92474201199293	up
vl	extsub	HOG10250	0.03519246961716669	53	0.7581430976670581	0.95887032358128	up
vl	extsub	HOG10253	-0.17431926281167373	33	0.23411472808828415	0.8533196298019604	down
vl	extsub	HOG10256	0.1524046725730435	61	0.15153508439930308	0.8497776738799564	up
vl	extsub	HOG10259	-0.14893886718362484	49	0.21090292605661032	0.8533196298019604	down
vl	extsub	HOG10260	-0.2658221033250759	61	0.012370684905083501	0.6388299001765777	down
vl	extsub	HOG10262	-0.03324255964474514	55	0.7668484756777447	0.9612873931784358	down
vl	extsub	HOG10263	-0.05968570563528441	59	0.5809124203331971	0.92474201199293	down
vl	extsub	HOG10266	0.0637973047980182	61	0.5482839227232152	0.9121965087340681	up
vl	extsub	HOG10269	0.09677929144720838	53	0.39711753786482684	0.8824165049970167	up
vl	extsub	HOG1026	0.21347904296319561	49	0.07293712024467147	0.8298009721467787	up
vl	extsub	HOG10271	0.02481006297700708	61	0.8154018422869038	0.9678893587345072	up
vl	extsub	HOG10273	-0.14946504647434428	57	0.17446076148979084	0.8497776738799564	down
vl	extsub	HOG10274	NA	NA	NA	NA	NA
vl	extsub	HOG10276	NA	NA	NA	NA	NA
vl	extsub	HOG10277	-0.02126576826600607	61	0.8413936112302458	0.9714605712195501	down
vl	extsub	HOG1027	NA	NA	NA	NA	NA
vl	extsub	HOG10280	-0.16658185141704754	61	0.11698904657737594	0.8497776738799564	down
vl	extsub	HOG10281	0.10119612345315271	31	0.5040358664525049	0.9019697548233759	up
vl	extsub	HOG10282	-0.24101204034806878	61	0.023333657832131805	0.7597806811349321	down
vl	extsub	HOG10286	-0.08952855845292662	59	0.4076259477027808	0.8824165049970167	down
vl	extsub	HOG10288	0.031466325573546165	57	0.774957259740833	0.9617344793092372	up
vl	extsub	HOG10289	0.1559489672840445	61	0.14224493851159367	0.8497776738799564	up
vl	extsub	HOG10299	-0.16716423068154176	53	0.1435712008195907	0.8497776738799564	down
vl	extsub	HOG1029	0.039717031248966625	49	0.7386640130762094	0.9535422544617007	up
vl	extsub	HOG10300	-0.1524046725730435	61	0.15153508439930308	0.8497776738799564	down
vl	extsub	HOG10301	-0.0700140042014005	51	0.5481860016777048	0.9121965087340681	down
vl	extsub	HOG10302	-0.0668659418437856	57	0.5434989501470182	0.9121965087340681	down
vl	extsub	HOG10303	-0.1363708197665209	53	0.23279475232307223	0.8533196298019604	down
vl	extsub	HOG10304	0.0615868218300417	53	0.5899832859684928	0.92474201199293	up
vl	extsub	HOG10307	-0.060253010087017195	61	0.5707265848746756	0.920571675456712	down
vl	extsub	HOG10308	0.010632884133003034	61	0.9203001829411458	0.9819506391026592	up
vl	extsub	HOG10311	0.12757270236222923	53	0.264332032288319	0.8533196298019604	up
vl	extsub	HOG10312	-0.02835435768800809	61	0.7896116519230303	0.9617344793092372	down
vl	extsub	HOG10313	NA	NA	NA	NA	NA
vl	extsub	HOG10314	-0.08506307306402427	61	0.4234531246369951	0.8824165049970167	down
vl	extsub	HOG10322	0.08579820185072135	59	0.42744266223254906	0.8873731147478484	up
vl	extsub	HOG10323	-0.10278454661902933	61	0.3334419871695805	0.8687231631193169	down
vl	extsub	HOG10326	0.19795764159656262	53	0.08326451666355043	0.8423798383136109	up
vl	extsub	HOG10330	0.12586530229418466	57	0.2527950783955869	0.8533196298019604	up
vl	extsub	HOG10332	-0.20556909323805866	61	0.05306294636546537	0.7966358015525591	down
vl	extsub	HOG10334	0.13822749372903945	61	0.19335334667404758	0.8497776738799564	up
vl	extsub	HOG10335	-0.19139191439405462	61	0.07170274849205706	0.8271468892364697	down
vl	extsub	HOG10338	0.06714641883969497	59	0.5345608020345052	0.9121965087340681	up
vl	extsub	HOG10339	-0.2197462720820627	61	0.03865734996987974	0.769653865364172	down
vl	extsub	HOG10340	0.20202479852705765	61	0.057294620885734115	0.8013805649488805	up
vl	extsub	HOG10343	0.09238023274506256	53	0.41892344094638306	0.8824165049970167	up
vl	extsub	HOG10344	NA	NA	NA	NA	NA
vl	extsub	HOG1034	0.08206784524851607	59	0.44780941868403057	0.8948066074671832	up
vl	extsub	HOG10351	-0.035442947110010115	61	0.7387427965353055	0.9535422544617007	down
vl	extsub	HOG10352	0	61	1	1	up
vl	extsub	HOG10358	-0.16276517197939594	53	0.1544086513619311	0.8497776738799564	down
vl	extsub	HOG10359	0.13468319901803844	61	0.2050226794013077	0.8533196298019604	up
vl	extsub	HOG10361	0.06341606223748969	59	0.5575021253337239	0.9189748250513504	up
vl	extsub	HOG10365	0.02481006297700708	61	0.8154018422869038	0.9678893587345072	up
vl	extsub	HOG10366	-0.2240448134444816	51	0.054663935891675106	0.8013805649488805	down
vl	extsub	HOG10367	-0.20202479852705765	61	0.057294620885734115	0.8013805649488805	down
vl	extsub	HOG10368	-0.07918305663862504	53	0.4884223166225936	0.9019697548233759	down
vl	extsub	HOG10374	0.12050602017403439	61	0.2568098638611724	0.8533196298019604	up
vl	extsub	HOG10376	NA	NA	NA	NA	NA
vl	extsub	HOG10377	0.26858567535877986	59	0.01298297293005012	0.6652515586638086	up
vl	extsub	HOG10382	0.17721473555005057	61	0.09539647629855073	0.8497776738799564	up
vl	extsub	HOG10385	NA	NA	NA	NA	NA
vl	extsub	HOG10386	-0.14548390748600576	59	0.1784225683488685	0.8497776738799564	down
vl	extsub	HOG10388	0.14548390748600576	59	0.1784225683488685	0.8497776738799564	up
vl	extsub	HOG10389	NA	NA	NA	NA	NA
vl	extsub	HOG10391	-0.0921516624860263	61	0.38586062235791413	0.8824165049970167	down
vl	extsub	HOG10394	-0.10987313604103136	61	0.301179227886229	0.8533196298019604	down
vl	extsub	HOG1039	0.08310639911186285	55	0.45854228625511434	0.8981975310823236	up
vl	extsub	HOG10401	0.11696172546303338	61	0.2710657256687855	0.8533196298019604	up
vl	extsub	HOG10405	0.06648511928949027	55	0.5531815181083108	0.9187260891195816	up
vl	extsub	HOG10412	NA	NA	NA	NA	NA
vl	extsub	HOG10414	-0.05595534903307914	59	0.6047728544859002	0.9252490155211508	down
vl	extsub	HOG10418	-0.10632884133003034	61	0.3170415020546738	0.8546673444459191	down
vl	extsub	HOG1041	-0.0932589150551319	59	0.3883673584627566	0.8824165049970167	down
vl	extsub	HOG10420	0.08151877835302326	61	0.4430262545390005	0.8925338441032591	up
vl	extsub	HOG10422	NA	NA	NA	NA	NA
vl	extsub	HOG10424	-0.1380231942815952	59	0.2017359836292292	0.8533196298019604	down
vl	extsub	HOG10426	0.06341606223748969	59	0.5575021253337239	0.9189748250513504	up
vl	extsub	HOG10427	-0.301265050435086	61	0.004583878077915671	0.5126628409414326	down
vl	extsub	HOG10431	0.12683212447497938	59	0.2407511151130296	0.8533196298019604	up
vl	extsub	HOG10432	0.14921426408821103	59	0.16754627748861722	0.8497776738799564	up
vl	extsub	HOG10436	0.026394352212875016	53	0.8173613313851769	0.9678893587345072	up
vl	extsub	HOG10438	-0.02126576826600607	61	0.8413936112302458	0.9714605712195501	down
vl	extsub	HOG10439	-0.03739787960033828	55	0.7387099517334232	0.9535422544617007	down
vl	extsub	HOG10447	NA	NA	NA	NA	NA
vl	extsub	HOG10450	0.027533034876852894	57	0.8024639332364419	0.9678893587345072	up
vl	extsub	HOG10451	-0.06714641883969497	59	0.5345608020345052	0.9121965087340681	down
vl	extsub	HOG10453	-0.05670871537601618	61	0.5935976334169444	0.92474201199293	down
vl	extsub	HOG10456	NA	NA	NA	NA	NA
vl	extsub	HOG1045	0.07479575920067656	55	0.5046926853028988	0.9019697548233759	up
vl	extsub	HOG10460	NA	NA	NA	NA	NA
vl	extsub	HOG10461	-0.12193201159749138	57	0.2679267666839418	0.8533196298019604	down
vl	extsub	HOG10462	0.07361570542987923	45	0.5541717358884045	0.9189748250513504	up
vl	extsub	HOG10467	-0.13822749372903945	61	0.19335334667404758	0.8497776738799564	down
vl	extsub	HOG1046	0.020776599777965712	55	0.8529840682347625	0.9724551018392091	up
vl	extsub	HOG10471	0	45	1	1	up
vl	extsub	HOG10475	NA	NA	NA	NA	NA
vl	extsub	HOG10478	-0.17532676030364797	59	0.10487743954896755	0.8497776738799564	down
vl	extsub	HOG10481	-0.25164492448107184	61	0.017885378082811803	0.7144175930244759	down
vl	extsub	HOG10482	0.07934920476158723	51	0.4961596578003586	0.9019697548233759	up
vl	extsub	HOG10483	-0.03730356602205276	59	0.7300697275800421	0.9535422544617007	down
vl	extsub	HOG10484	-0.02611249621543693	59	0.809149834631498	0.9678893587345072	down
vl	extsub	HOG10487	0.17905711690585324	59	0.09768995934615685	0.8497776738799564	up
vl	extsub	HOG10496	0.007460713204410551	59	0.9449844010606654	0.9837258848247808	up
vl	extsub	HOG10499	0.05670871537601618	61	0.5935976334169444	0.92474201199293	up
vl	extsub	HOG1049	NA	NA	NA	NA	NA
vl	extsub	HOG10500	0.02481006297700708	61	0.8154018422869038	0.9678893587345072	up
vl	extsub	HOG10503	-0.14177178844004046	61	0.1821793790660869	0.8497776738799564	down
vl	extsub	HOG10504	0.01662127982237257	55	0.8821455812960056	0.9758031753047817	up
vl	extsub	HOG10505	NA	NA	NA	NA	NA
vl	extsub	HOG10507	0.16303755670604653	61	0.12498392646780655	0.8497776738799564	up
vl	extsub	HOG10511	0.14177178844004046	61	0.1821793790660869	0.8497776738799564	up
vl	extsub	HOG10513	0.017721473555005057	61	0.8675594153624533	0.9724551018392091	up
vl	extsub	HOG10516	0.10987313604103136	61	0.301179227886229	0.8533196298019604	up
vl	extsub	HOG1051	-0.05316442066501517	61	0.6168793360668248	0.9252490155211508	down
vl	extsub	HOG10521	0.0637973047980182	61	0.5482839227232152	0.9121965087340681	up
vl	extsub	HOG10522	0.04326619766362597	57	0.6942397677534013	0.9496947154076951	up
vl	extsub	HOG10529	0.011191069806615828	59	0.9175583450947844	0.9819506391026592	up
vl	extsub	HOG10530	0.09557235897864227	55	0.39397175017198827	0.8824165049970167	up
vl	extsub	HOG10531	-0.17721473555005057	61	0.09539647629855073	0.8497776738799564	down
vl	extsub	HOG10534	NA	NA	NA	NA	NA
vl	extsub	HOG10535	0.05595534903307914	59	0.6047728544859002	0.9252490155211508	up
vl	extsub	HOG10537	0	53	1	1	up
vl	extsub	HOG10538	0.02835435768800809	61	0.7896116519230303	0.9617344793092372	up
vl	extsub	HOG10544	NA	NA	NA	NA	NA
vl	extsub	HOG10545	0.02611249621543693	59	0.809149834631498	0.9678893587345072	up
vl	extsub	HOG10549	-0.014177178844004046	61	0.8938711386490852	0.9758031753047817	down
vl	extsub	HOG10557	0.05222499243087386	59	0.6290631518148919	0.9327939544785839	up
vl	extsub	HOG10561	NA	NA	NA	NA	NA
vl	extsub	HOG10563	-0.11669000700233416	51	0.31692304473321276	0.8546673444459191	down
vl	extsub	HOG10564	-0.07443018893102124	61	0.48368427081617243	0.9019697548233759	down
vl	extsub	HOG10569	0.1559489672840445	61	0.14224493851159367	0.8497776738799564	up
vl	extsub	HOG10571	0.1363708197665209	53	0.23279475232307223	0.8533196298019604	up
vl	extsub	HOG10572	0.07443018893102124	61	0.48368427081617243	0.9019697548233759	up
vl	extsub	HOG10577	-0.12706953035787316	47	0.29626987148428635	0.8533196298019604	down
vl	extsub	HOG10579	0.04235651011929105	47	0.7277235466695502	0.9535422544617007	up
vl	extsub	HOG10580	0.08151877835302326	61	0.4430262545390005	0.8925338441032591	up
vl	extsub	HOG10585	-0.05222499243087386	59	0.6290631518148919	0.9327939544785839	down
vl	extsub	HOG10588	-0.0921516624860263	61	0.38586062235791413	0.8824165049970167	down
vl	extsub	HOG10593	-0.0783374886463108	59	0.46871658244620706	0.8985547012672358	down
vl	extsub	HOG10594	-0.12050602017403439	61	0.2568098638611724	0.8533196298019604	down
vl	extsub	HOG10596	0.22026427901482315	57	0.04536257584268194	0.77912700704076	up
vl	extsub	HOG10597	0.010632884133003034	61	0.9203001829411458	0.9819506391026592	up
vl	extsub	HOG1059	0.07918305663862504	53	0.4884223166225936	0.9019697548233759	up
vl	extsub	HOG10600	-0.022382139613231655	59	0.8359944985248412	0.9714605712195501	down
vl	extsub	HOG10602	0.12050602017403439	61	0.2568098638611724	0.8533196298019604	up
vl	extsub	HOG10606	0.11341743075203237	61	0.28585455657492786	0.8533196298019604	up
vl	extsub	HOG10610	0.1415686642882293	45	0.255312868530966	0.8533196298019604	up
vl	extsub	HOG10611	0.20202479852705765	61	0.057294620885734115	0.8013805649488805	up
vl	extsub	HOG10612	0.1878476196830536	61	0.07711960647799258	0.8298379531126444	up
vl	extsub	HOG10616	-0.19770889991687962	59	0.06744849980842382	0.8180451077682228	down
vl	extsub	HOG10618	-0.0035442947110010115	61	0.9733939926191759	0.9865277968740805	down
vl	extsub	HOG1061	0.07460713204410552	59	0.490152960415825	0.9019697548233759	up
vl	extsub	HOG10625	0.02333800140046683	51	0.8413552991063002	0.9714605712195501	up
vl	extsub	HOG10628	NA	NA	NA	NA	NA
vl	extsub	HOG10629	NA	NA	NA	NA	NA
vl	extsub	HOG10631	NA	NA	NA	NA	NA
vl	extsub	HOG10632	-0.07460713204410552	59	0.490152960415825	0.9019697548233759	down
vl	extsub	HOG10634	NA	NA	NA	NA	NA
vl	extsub	HOG10635	NA	NA	NA	NA	NA
vl	extsub	HOG10638	-0.02126576826600607	61	0.8413936112302458	0.9714605712195501	down
vl	extsub	HOG10640	-0.04607583124301315	61	0.6645976189673743	0.9374712465587589	down
vl	extsub	HOG10642	NA	NA	NA	NA	NA
vl	extsub	HOG10644	-0.035442947110010115	61	0.7387427965353055	0.9535422544617007	down
vl	extsub	HOG10646	0.07088589422002023	61	0.5047482788338378	0.9019697548233759	up
vl	extsub	HOG10650	-0.08151877835302326	61	0.4430262545390005	0.8925338441032591	down
vl	extsub	HOG10651	0.05968570563528441	59	0.5809124203331971	0.92474201199293	up
vl	extsub	HOG10657	0.026394352212875016	53	0.8173613313851769	0.9678893587345072	up
vl	extsub	HOG10659	0.020776599777965712	55	0.8529840682347625	0.9724551018392091	up
vl	extsub	HOG10662	NA	NA	NA	NA	NA
vl	extsub	HOG10664	NA	NA	NA	NA	NA
vl	extsub	HOG10667	-0.007088589422002023	61	0.9468175611581324	0.9837258848247808	down
vl	extsub	HOG10673	NA	NA	NA	NA	NA
vl	extsub	HOG10674	-0.17721473555005057	61	0.09539647629855073	0.8497776738799564	down
vl	extsub	HOG10676	-0.05506606975370579	57	0.6168503489075596	0.9252490155211508	down
vl	extsub	HOG10678	0.08151877835302326	61	0.4430262545390005	0.8925338441032591	up
vl	extsub	HOG10679	0	61	1	1	up
vl	extsub	HOG10680	0.17012614612804855	61	0.10940136674391907	0.8497776738799564	up
vl	extsub	HOG10681	-0.0921516624860263	61	0.38586062235791413	0.8824165049970167	down
vl	extsub	HOG10682	0.029087239689151997	55	0.7952978836076403	0.966167801993476	up
vl	extsub	HOG10684	-0.17721473555005057	61	0.09539647629855073	0.8497776738799564	down
vl	extsub	HOG10687	-0.035442947110010115	61	0.7387427965353055	0.9535422544617007	down
vl	extsub	HOG10692	0.06293265114709233	57	0.5674619817373963	0.920571675456712	up
vl	extsub	HOG10696	0.060253010087017195	61	0.5707265848746756	0.920571675456712	up
vl	extsub	HOG10698	-0.1694260404771642	47	0.16373435432459216	0.8497776738799564	down
vl	extsub	HOG10699	-0.03959152831931252	53	0.729034489538804	0.9535422544617007	down
vl	extsub	HOG10701	-0.07473252323717214	57	0.4971349438991533	0.9019697548233759	down
vl	extsub	HOG10702	0.02126576826600607	61	0.8413936112302458	0.9714605712195501	up
vl	extsub	HOG10705	-0.035442947110010115	61	0.7387427965353055	0.9535422544617007	down
vl	extsub	HOG10706	NA	NA	NA	NA	NA
vl	extsub	HOG10707	-0.13822749372903945	61	0.19335334667404758	0.8497776738799564	down
vl	extsub	HOG10713	0.0035442947110010115	61	0.9733939926191759	0.9865277968740805	up
vl	extsub	HOG10715	0.014177178844004046	61	0.8938711386490852	0.9758031753047817	up
vl	extsub	HOG10718	0.015733162786773083	57	0.8863309823631771	0.9758031753047817	up
vl	extsub	HOG10719	-0.07918305663862504	53	0.4884223166225936	0.9019697548233759	down
vl	extsub	HOG10720	-0.09569595719702731	61	0.36785400347160596	0.8796045517693843	down
vl	extsub	HOG10727	-0.05595534903307914	59	0.6047728544859002	0.9252490155211508	down
vl	extsub	HOG10729	NA	NA	NA	NA	NA
vl	extsub	HOG10731	NA	NA	NA	NA	NA
vl	extsub	HOG10733	0.13429283767938993	59	0.21419302571912832	0.8533196298019604	up
vl	extsub	HOG10737	NA	NA	NA	NA	NA
vl	extsub	HOG10740	-0.20889996972349545	59	0.053336852829139844	0.7966358015525591	down
vl	extsub	HOG10744	0.04962012595401416	61	0.6405527209708475	0.9327939544785839	up
vl	extsub	HOG10745	-0.034752402342845795	49	0.7703476540230079	0.9617344793092372	down
vl	extsub	HOG10756	-0.07443018893102124	61	0.48368427081617243	0.9019697548233759	down
vl	extsub	HOG10758	0.22683486150406473	61	0.032800278577791754	0.7695736346789653	up
vl	extsub	HOG10761	-0.0035442947110010115	61	0.9733939926191759	0.9865277968740805	down
vl	extsub	HOG10765	0.05968570563528441	59	0.5809124203331971	0.92474201199293	up
vl	extsub	HOG10770	-0.08506307306402427	61	0.4234531246369951	0.8824165049970167	down
vl	extsub	HOG10771	0.011191069806615828	59	0.9175583450947844	0.9819506391026592	up
vl	extsub	HOG10774	0.07460713204410552	59	0.490152960415825	0.9019697548233759	up
vl	extsub	HOG10775	-0.05316442066501517	61	0.6168793360668248	0.9252490155211508	down
vl	extsub	HOG10779	-0.06734159950901922	61	0.5262861036200477	0.9104295066549373	down
vl	extsub	HOG1077	0.13536040812270764	51	0.24567072743904125	0.8533196298019604	up
vl	extsub	HOG10780	0.09698927165733717	59	0.36967344097055216	0.8796045517693843	up
vl	extsub	HOG10781	-0.216360682927906	59	0.04537190506583871	0.77912700704076	down
vl	extsub	HOG10786	0.07460713204410552	59	0.490152960415825	0.9019697548233759	up
vl	extsub	HOG10789	0.02611249621543693	59	0.809149834631498	0.9678893587345072	up
vl	extsub	HOG1078	NA	NA	NA	NA	NA
vl	extsub	HOG10790	-0.0921516624860263	61	0.38586062235791413	0.8824165049970167	down
vl	extsub	HOG10797	0.10632884133003034	61	0.3170415020546738	0.8546673444459191	up
vl	extsub	HOG10803	NA	NA	NA	NA	NA
vl	extsub	HOG10804	-0.14531608315104147	61	0.17149164222952806	0.8497776738799564	down
vl	extsub	HOG10805	0.022382139613231655	59	0.8359944985248412	0.9714605712195501	up
vl	extsub	HOG10807	-0.11191069806615828	59	0.30062298819690664	0.8533196298019604	down
vl	extsub	HOG10808	0.19770889991687962	59	0.06744849980842382	0.8180451077682228	up
vl	extsub	HOG10812	-0.060253010087017195	61	0.5707265848746756	0.920571675456712	down
vl	extsub	HOG10813	-0.04607583124301315	61	0.6645976189673743	0.9374712465587589	down
vl	extsub	HOG10814	-0.11341743075203237	61	0.28585455657492786	0.8533196298019604	down
vl	extsub	HOG10815	-0.04253153653201214	61	0.6889927119264218	0.9454519048855403	down
