rep	ct0	ct1	ct2	ct3	ct4	ct5	selected	convergent	rel_conv
1045	1450	49	1	0	0	0	50	1	0.02
1046	1458	54	1	0	0	0	55	1	0.01818181818181818
1047	1453	42	1	0	0	0	43	1	0.023255813953488372
1048	1479	46	1	0	0	0	47	1	0.02127659574468085
1049	1495	48	5	0	0	0	53	5	0.09433962264150944
105	1481	44	2	0	0	0	46	2	0.043478260869565216
1050	1474	57	2	0	0	0	59	2	0.03389830508474576
1051	1462	44	1	1	0	0	46	2	0.043478260869565216
1052	1472	42	5	0	0	0	47	5	0.10638297872340426
1053	1483	42	0	0	0	0	42	0	0
1054	1451	52	1	0	0	0	53	1	0.018867924528301886
1055	1514	44	3	0	0	0	47	3	0.06382978723404255
1056	1479	35	3	0	0	0	38	3	0.07894736842105263
1057	1459	42	3	0	0	0	45	3	0.06666666666666667
1058	1482	48	2	0	0	0	50	2	0.04
1059	1489	42	3	1	0	0	46	4	0.08695652173913043
106	1473	41	5	0	0	0	46	5	0.10869565217391304
1060	1487	50	1	1	0	0	52	2	0.038461538461538464
1061	1463	29	2	0	0	0	31	2	0.06451612903225806
1062	1484	48	3	0	0	0	51	3	0.058823529411764705
1063	1498	38	4	0	0	0	42	4	0.09523809523809523
1064	1448	51	3	0	0	0	54	3	0.05555555555555555
1065	1501	43	3	0	0	0	46	3	0.06521739130434782
1066	1494	46	5	0	0	0	51	5	0.09803921568627451
1067	1468	36	3	0	0	0	39	3	0.07692307692307693
1068	1461	41	1	0	0	0	42	1	0.023809523809523808
1069	1482	51	2	0	0	0	53	2	0.03773584905660377
107	1474	56	2	0	0	0	58	2	0.034482758620689655
1070	1485	44	6	0	0	0	50	6	0.12
1071	1473	49	1	0	0	0	50	1	0.02
1072	1498	47	3	0	0	0	50	3	0.06
1073	1469	47	1	0	0	0	48	1	0.020833333333333332
1074	1471	39	3	0	0	0	42	3	0.07142857142857142
1075	1498	42	7	0	0	0	49	7	0.14285714285714285
1076	1505	55	4	1	0	0	60	5	0.08333333333333333
1077	1443	41	1	0	0	0	42	1	0.023809523809523808
1078	1516	54	4	0	0	0	58	4	0.06896551724137931
1079	1455	51	1	0	0	0	52	1	0.019230769230769232
108	1476	38	2	0	0	0	40	2	0.05
1080	1455	41	4	0	0	0	45	4	0.08888888888888889
1081	1453	45	3	0	0	0	48	3	0.0625
1082	1465	41	2	0	0	0	43	2	0.046511627906976744
1083	1465	37	3	0	0	0	40	3	0.075
1084	1459	45	3	0	0	0	48	3	0.0625
1085	1455	50	2	0	0	0	52	2	0.038461538461538464
1086	1454	43	1	0	0	0	44	1	0.022727272727272728
1087	1463	55	4	0	0	0	59	4	0.06779661016949153
1088	1472	49	4	0	0	0	53	4	0.07547169811320754
1089	1505	34	1	0	0	0	35	1	0.02857142857142857
109	1497	54	2	0	0	0	56	2	0.03571428571428571
1090	1508	38	5	0	0	0	43	5	0.11627906976744186
1091	1462	53	5	0	0	0	58	5	0.08620689655172414
1092	1505	62	2	0	0	0	64	2	0.03125
1093	1469	52	1	0	0	0	53	1	0.018867924528301886
1094	1488	58	3	0	0	0	61	3	0.04918032786885246
1095	1460	49	2	0	0	0	51	2	0.0392156862745098
1096	1478	48	3	0	0	0	51	3	0.058823529411764705
1097	1445	49	1	0	0	0	50	1	0.02
1098	1442	51	9	0	0	0	60	9	0.15
1099	1456	49	4	0	0	0	53	4	0.07547169811320754
11	1490	61	4	0	0	0	65	4	0.06153846153846154
110	1472	44	3	0	0	0	47	3	0.06382978723404255
1100	1466	32	0	0	0	0	32	0	0
1101	1449	45	2	0	0	0	47	2	0.0425531914893617
1102	1470	48	6	0	0	0	54	6	0.1111111111111111
1103	1460	49	3	0	0	0	52	3	0.057692307692307696
1104	1494	38	0	0	0	0	38	0	0
1105	1455	33	2	0	0	0	35	2	0.05714285714285714
1106	1478	46	1	0	0	0	47	1	0.02127659574468085
1107	1467	44	1	0	0	0	45	1	0.022222222222222223
1108	1466	54	1	0	0	0	55	1	0.01818181818181818
1109	1486	43	2	0	0	0	45	2	0.044444444444444446
111	1448	54	4	0	0	0	58	4	0.06896551724137931
1110	1496	47	1	1	0	0	49	2	0.04081632653061224
1111	1505	47	3	0	0	0	50	3	0.06
1112	1479	34	1	0	0	0	35	1	0.02857142857142857
1113	1460	48	2	0	0	0	50	2	0.04
1114	1476	45	5	0	0	0	50	5	0.1
1115	1468	45	2	2	0	0	49	4	0.08163265306122448
1116	1459	40	1	0	0	0	41	1	0.024390243902439025
1117	1436	38	1	0	0	0	39	1	0.02564102564102564
1118	1486	37	4	1	0	0	42	5	0.11904761904761904
1119	1493	44	1	0	0	0	45	1	0.022222222222222223
112	1456	48	1	0	0	0	49	1	0.02040816326530612
1120	1451	52	2	0	0	0	54	2	0.037037037037037035
1121	1473	59	1	0	0	0	60	1	0.016666666666666666
1122	1449	56	1	0	0	0	57	1	0.017543859649122806
1123	1532	58	1	0	0	0	59	1	0.01694915254237288
1124	1479	45	2	0	0	0	47	2	0.0425531914893617
1125	1451	48	1	0	0	0	49	1	0.02040816326530612
1126	1506	38	2	0	0	0	40	2	0.05
1127	1471	49	3	0	0	0	52	3	0.057692307692307696
1128	1477	57	3	0	0	0	60	3	0.05
1129	1462	46	4	0	0	0	50	4	0.08
113	1498	35	4	0	0	0	39	4	0.10256410256410256
1130	1430	52	3	0	0	0	55	3	0.05454545454545454
1131	1448	47	4	0	0	0	51	4	0.0784313725490196
1132	1462	46	6	0	0	0	52	6	0.11538461538461539
1133	1467	53	2	0	0	0	55	2	0.03636363636363636
1134	1450	44	3	0	0	0	47	3	0.06382978723404255
1135	1504	49	2	0	0	0	51	2	0.0392156862745098
1136	1471	43	1	1	0	0	45	2	0.044444444444444446
1137	1468	44	1	0	0	0	45	1	0.022222222222222223
1138	1458	42	2	0	0	0	44	2	0.045454545454545456
1139	1492	56	3	0	0	0	59	3	0.05084745762711865
114	1458	47	3	0	0	0	50	3	0.06
1140	1457	47	1	0	0	0	48	1	0.020833333333333332
1141	1474	41	0	0	0	0	41	0	0
1142	1472	50	1	0	0	0	51	1	0.0196078431372549
1143	1470	43	3	0	0	0	46	3	0.06521739130434782
1144	1449	71	7	0	0	0	78	7	0.08974358974358974
1145	1502	50	3	0	0	0	53	3	0.05660377358490566
1146	1455	37	1	1	0	0	39	2	0.05128205128205128
1147	1483	52	4	0	0	0	56	4	0.07142857142857142
1148	1445	49	2	1	0	0	52	3	0.057692307692307696
1149	1442	47	2	0	0	0	49	2	0.04081632653061224
115	1468	40	3	0	0	0	43	3	0.06976744186046512
1150	1482	50	3	0	0	0	53	3	0.05660377358490566
1151	1458	53	4	0	0	0	57	4	0.07017543859649122
1152	1473	42	2	0	0	0	44	2	0.045454545454545456
1153	1486	58	2	1	0	0	61	3	0.04918032786885246
1154	1464	56	4	0	0	0	60	4	0.06666666666666667
1155	1473	62	3	0	0	0	65	3	0.046153846153846156
1156	1513	52	1	0	0	0	53	1	0.018867924528301886
1157	1489	42	3	0	0	0	45	3	0.06666666666666667
1158	1485	41	2	0	0	0	43	2	0.046511627906976744
1159	1477	40	2	0	0	0	42	2	0.047619047619047616
116	1491	43	1	0	0	0	44	1	0.022727272727272728
1160	1465	49	2	0	0	0	51	2	0.0392156862745098
1161	1483	43	3	0	0	0	46	3	0.06521739130434782
1162	1498	47	4	0	0	0	51	4	0.0784313725490196
1163	1466	47	3	0	0	0	50	3	0.06
1164	1466	46	2	0	0	0	48	2	0.041666666666666664
1165	1484	43	4	0	0	0	47	4	0.0851063829787234
1166	1453	43	3	1	0	0	47	4	0.0851063829787234
1167	1493	34	1	0	0	0	35	1	0.02857142857142857
1168	1480	45	5	0	0	0	50	5	0.1
1169	1481	48	6	0	0	0	54	6	0.1111111111111111
117	1489	41	3	0	0	0	44	3	0.06818181818181818
1170	1464	44	5	0	0	0	49	5	0.10204081632653061
1171	1455	39	2	0	0	0	41	2	0.04878048780487805
1172	1473	51	2	0	0	0	53	2	0.03773584905660377
1173	1493	45	2	0	0	0	47	2	0.0425531914893617
1174	1493	42	5	0	0	0	47	5	0.10638297872340426
1175	1488	43	1	0	0	0	44	1	0.022727272727272728
1176	1462	56	1	0	0	0	57	1	0.017543859649122806
1177	1416	50	2	0	0	0	52	2	0.038461538461538464
1178	1453	40	6	0	0	0	46	6	0.13043478260869565
1179	1478	38	3	0	0	0	41	3	0.07317073170731707
118	1455	51	2	1	0	0	54	3	0.05555555555555555
1180	1477	45	0	1	0	0	46	1	0.021739130434782608
1181	1473	43	2	0	0	0	45	2	0.044444444444444446
1182	1449	45	2	0	0	0	47	2	0.0425531914893617
1183	1479	50	2	0	0	0	52	2	0.038461538461538464
1184	1495	49	3	0	0	0	52	3	0.057692307692307696
1185	1515	41	6	0	0	0	47	6	0.1276595744680851
1186	1480	49	3	0	0	0	52	3	0.057692307692307696
1187	1467	48	0	1	0	0	49	1	0.02040816326530612
1188	1474	52	2	0	0	0	54	2	0.037037037037037035
1189	1479	51	4	0	0	0	55	4	0.07272727272727272
119	1470	43	2	0	0	0	45	2	0.044444444444444446
1190	1504	41	1	0	0	0	42	1	0.023809523809523808
1191	1483	32	4	0	0	0	36	4	0.1111111111111111
1192	1479	39	3	0	0	0	42	3	0.07142857142857142
1193	1473	39	0	0	0	0	39	0	0
1194	1473	44	2	0	0	0	46	2	0.043478260869565216
1195	1446	45	1	0	0	0	46	1	0.021739130434782608
1196	1483	35	1	1	0	0	37	2	0.05405405405405406
1197	1462	41	5	0	0	0	46	5	0.10869565217391304
1198	1454	53	0	0	0	0	53	0	0
1199	1457	45	3	0	0	0	48	3	0.0625
12	1465	42	5	0	0	0	47	5	0.10638297872340426
120	1497	38	0	0	0	0	38	0	0
1200	1473	44	3	0	0	0	47	3	0.06382978723404255
1201	1497	32	4	0	0	0	36	4	0.1111111111111111
1202	1488	39	3	1	0	0	43	4	0.09302325581395349
1203	1476	42	3	0	0	0	45	3	0.06666666666666667
1204	1490	52	3	0	0	0	55	3	0.05454545454545454
1205	1483	45	3	0	0	0	48	3	0.0625
1206	1455	49	3	0	0	0	52	3	0.057692307692307696
1207	1487	46	1	0	0	0	47	1	0.02127659574468085
1208	1475	41	3	0	0	0	44	3	0.06818181818181818
1209	1481	39	1	0	0	0	40	1	0.025
121	1484	42	4	0	0	0	46	4	0.08695652173913043
1210	1490	46	3	0	0	0	49	3	0.061224489795918366
1211	1452	42	2	0	0	0	44	2	0.045454545454545456
1212	1497	43	0	0	0	0	43	0	0
1213	1485	44	0	0	0	0	44	0	0
1214	1473	44	3	0	0	0	47	3	0.06382978723404255
1215	1464	44	4	0	0	0	48	4	0.08333333333333333
1216	1434	42	4	0	0	0	46	4	0.08695652173913043
1217	1504	44	3	0	0	0	47	3	0.06382978723404255
1218	1483	46	3	0	0	0	49	3	0.061224489795918366
1219	1478	47	1	0	0	0	48	1	0.020833333333333332
122	1450	43	5	0	0	0	48	5	0.10416666666666667
1220	1475	42	5	0	0	0	47	5	0.10638297872340426
1221	1487	52	4	0	0	0	56	4	0.07142857142857142
1222	1490	41	1	0	0	0	42	1	0.023809523809523808
1223	1489	49	3	0	0	0	52	3	0.057692307692307696
1224	1474	43	1	1	0	0	45	2	0.044444444444444446
1225	1481	50	3	0	0	0	53	3	0.05660377358490566
1226	1498	51	3	0	0	0	54	3	0.05555555555555555
1227	1463	44	1	0	0	0	45	1	0.022222222222222223
1228	1465	40	4	0	0	0	44	4	0.09090909090909091
1229	1480	48	2	0	0	0	50	2	0.04
123	1443	41	3	1	0	0	45	4	0.08888888888888889
1230	1475	47	2	0	0	0	49	2	0.04081632653061224
1231	1451	44	2	0	0	0	46	2	0.043478260869565216
1232	1471	52	3	0	0	0	55	3	0.05454545454545454
1233	1459	42	0	0	0	0	42	0	0
1234	1458	45	2	0	0	0	47	2	0.0425531914893617
1235	1468	53	1	0	0	0	54	1	0.018518518518518517
1236	1473	42	0	1	0	0	43	1	0.023255813953488372
1237	1489	35	5	0	0	0	40	5	0.125
1238	1473	42	1	1	0	0	44	2	0.045454545454545456
1239	1475	43	2	0	0	0	45	2	0.044444444444444446
124	1463	43	3	0	0	0	46	3	0.06521739130434782
1240	1470	37	3	0	0	0	40	3	0.075
1241	1468	37	6	1	0	0	44	7	0.1590909090909091
1242	1471	40	3	0	0	0	43	3	0.06976744186046512
1243	1486	48	5	0	0	0	53	5	0.09433962264150944
1244	1458	48	1	0	0	0	49	1	0.02040816326530612
1245	1460	43	5	0	0	0	48	5	0.10416666666666667
1246	1498	45	2	0	0	0	47	2	0.0425531914893617
1247	1516	48	1	0	0	0	49	1	0.02040816326530612
1248	1504	43	3	0	0	0	46	3	0.06521739130434782
1249	1470	41	2	0	0	0	43	2	0.046511627906976744
125	1463	40	3	0	0	0	43	3	0.06976744186046512
1250	1515	53	2	0	0	0	55	2	0.03636363636363636
1251	1495	36	3	1	0	0	40	4	0.1
1252	1473	43	4	0	0	0	47	4	0.0851063829787234
1253	1466	46	7	0	0	0	53	7	0.1320754716981132
1254	1464	44	4	0	0	0	48	4	0.08333333333333333
1255	1452	46	1	0	0	0	47	1	0.02127659574468085
1256	1507	48	6	0	0	0	54	6	0.1111111111111111
1257	1454	50	2	0	0	0	52	2	0.038461538461538464
1258	1481	51	1	0	0	0	52	1	0.019230769230769232
1259	1484	45	3	0	0	0	48	3	0.0625
126	1481	39	4	0	0	0	43	4	0.09302325581395349
1260	1452	39	3	0	0	0	42	3	0.07142857142857142
1261	1483	40	2	0	0	0	42	2	0.047619047619047616
1262	1474	50	2	0	0	0	52	2	0.038461538461538464
1263	1443	70	2	0	0	0	72	2	0.027777777777777776
1264	1462	57	3	1	0	0	61	4	0.06557377049180328
1265	1501	37	2	0	0	0	39	2	0.05128205128205128
1266	1478	43	5	0	0	0	48	5	0.10416666666666667
1267	1458	33	0	2	0	0	35	2	0.05714285714285714
1268	1465	54	3	0	0	0	57	3	0.05263157894736842
1269	1484	43	4	0	0	0	47	4	0.0851063829787234
127	1461	44	4	0	0	0	48	4	0.08333333333333333
1270	1484	57	2	1	0	0	60	3	0.05
1271	1471	40	6	0	0	0	46	6	0.13043478260869565
1272	1474	51	1	0	0	0	52	1	0.019230769230769232
1273	1479	49	4	0	0	0	53	4	0.07547169811320754
1274	1469	56	4	0	0	0	60	4	0.06666666666666667
1275	1484	44	3	0	0	0	47	3	0.06382978723404255
1276	1480	37	2	0	0	0	39	2	0.05128205128205128
1277	1484	43	2	0	0	0	45	2	0.044444444444444446
1278	1462	48	3	0	0	0	51	3	0.058823529411764705
1279	1462	43	0	0	0	0	43	0	0
128	1474	42	3	0	0	0	45	3	0.06666666666666667
1280	1471	54	3	0	0	0	57	3	0.05263157894736842
1281	1448	46	1	0	0	0	47	1	0.02127659574468085
1282	1499	37	2	0	0	0	39	2	0.05128205128205128
1283	1486	34	2	0	0	0	36	2	0.05555555555555555
1284	1479	52	5	0	0	0	57	5	0.08771929824561403
1285	1470	40	3	0	0	0	43	3	0.06976744186046512
1286	1490	46	2	0	0	0	48	2	0.041666666666666664
1287	1454	37	0	0	0	0	37	0	0
1288	1476	46	4	0	0	0	50	4	0.08
1289	1485	44	2	1	0	0	47	3	0.06382978723404255
129	1463	49	3	0	0	0	52	3	0.057692307692307696
1290	1478	40	3	0	0	0	43	3	0.06976744186046512
1291	1464	44	4	1	0	0	49	5	0.10204081632653061
1292	1455	48	5	0	0	0	53	5	0.09433962264150944
1293	1483	43	2	1	0	0	46	3	0.06521739130434782
1294	1493	51	6	0	0	0	57	6	0.10526315789473684
1295	1493	40	2	0	0	0	42	2	0.047619047619047616
1296	1482	37	2	1	0	0	40	3	0.075
1297	1484	58	1	0	0	0	59	1	0.01694915254237288
1298	1464	44	2	0	0	0	46	2	0.043478260869565216
1299	1466	54	2	0	0	0	56	2	0.03571428571428571
13	1471	55	5	0	0	0	60	5	0.08333333333333333
130	1460	49	0	1	0	0	50	1	0.02
1300	1506	45	5	0	0	0	50	5	0.1
1301	1488	51	4	0	0	0	55	4	0.07272727272727272
1302	1486	41	0	0	0	0	41	0	0
1303	1482	46	1	0	0	0	47	1	0.02127659574468085
1304	1498	62	2	0	0	0	64	2	0.03125
1305	1476	55	1	0	0	0	56	1	0.017857142857142856
1306	1465	43	2	0	0	0	45	2	0.044444444444444446
1307	1472	41	7	0	0	0	48	7	0.14583333333333334
1308	1485	47	1	1	0	0	49	2	0.04081632653061224
1309	1464	53	3	0	0	0	56	3	0.05357142857142857
131	1476	41	4	1	0	0	46	5	0.10869565217391304
1310	1444	44	1	1	0	0	46	2	0.043478260869565216
1311	1500	34	2	0	0	0	36	2	0.05555555555555555
1312	1483	41	5	0	0	0	46	5	0.10869565217391304
1313	1492	45	3	0	0	0	48	3	0.0625
1314	1486	41	4	0	0	0	45	4	0.08888888888888889
1315	1463	42	7	0	0	0	49	7	0.14285714285714285
1316	1491	32	2	0	0	0	34	2	0.058823529411764705
1317	1462	42	0	0	0	0	42	0	0
1318	1487	50	3	0	0	0	53	3	0.05660377358490566
1319	1495	41	2	0	0	0	43	2	0.046511627906976744
132	1483	34	5	0	0	0	39	5	0.1282051282051282
1320	1455	33	1	0	0	0	34	1	0.029411764705882353
1321	1448	56	6	0	0	0	62	6	0.0967741935483871
1322	1474	47	1	0	0	0	48	1	0.020833333333333332
1323	1443	48	4	0	0	0	52	4	0.07692307692307693
1324	1496	50	3	1	0	0	54	4	0.07407407407407407
1325	1464	45	0	1	0	0	46	1	0.021739130434782608
1326	1468	50	3	0	0	0	53	3	0.05660377358490566
1327	1487	50	3	0	0	0	53	3	0.05660377358490566
1328	1461	47	3	0	0	0	50	3	0.06
1329	1476	53	0	0	0	0	53	0	0
133	1499	49	1	0	0	0	50	1	0.02
1330	1419	39	3	0	0	0	42	3	0.07142857142857142
1331	1479	36	1	0	0	0	37	1	0.02702702702702703
1332	1479	46	5	0	0	0	51	5	0.09803921568627451
1333	1462	49	5	0	0	0	54	5	0.09259259259259259
1334	1488	51	4	0	0	0	55	4	0.07272727272727272
1335	1454	38	2	0	0	0	40	2	0.05
1336	1487	34	5	0	0	0	39	5	0.1282051282051282
1337	1467	64	3	1	0	0	68	4	0.058823529411764705
1338	1482	37	0	0	0	0	37	0	0
1339	1468	44	1	0	0	0	45	1	0.022222222222222223
134	1447	49	0	0	0	0	49	0	0
1340	1459	42	2	0	0	0	44	2	0.045454545454545456
1341	1456	45	2	0	0	0	47	2	0.0425531914893617
1342	1490	63	2	0	0	0	65	2	0.03076923076923077
1343	1486	53	2	0	0	0	55	2	0.03636363636363636
1344	1468	49	3	0	0	0	52	3	0.057692307692307696
1345	1489	42	2	0	0	0	44	2	0.045454545454545456
1346	1469	43	6	0	0	0	49	6	0.12244897959183673
1347	1461	58	1	0	0	0	59	1	0.01694915254237288
1348	1495	39	1	0	0	0	40	1	0.025
1349	1486	50	2	0	0	0	52	2	0.038461538461538464
135	1474	45	3	0	0	0	48	3	0.0625
1350	1449	49	2	0	0	0	51	2	0.0392156862745098
1351	1484	37	2	0	0	0	39	2	0.05128205128205128
1352	1482	45	6	0	0	0	51	6	0.11764705882352941
1353	1458	50	4	0	0	0	54	4	0.07407407407407407
1354	1486	46	0	0	0	0	46	0	0
1355	1488	42	2	0	0	0	44	2	0.045454545454545456
1356	1450	46	2	0	0	0	48	2	0.041666666666666664
1357	1503	28	1	0	0	0	29	1	0.034482758620689655
1358	1497	53	2	0	0	0	55	2	0.03636363636363636
1359	1449	47	3	0	0	0	50	3	0.06
136	1481	57	3	0	0	0	60	3	0.05
1360	1496	41	4	0	0	0	45	4	0.08888888888888889
1361	1473	47	1	0	0	0	48	1	0.020833333333333332
1362	1477	47	1	0	0	0	48	1	0.020833333333333332
1363	1469	47	5	0	0	0	52	5	0.09615384615384616
1364	1473	37	1	0	0	0	38	1	0.02631578947368421
1365	1515	35	4	0	0	0	39	4	0.10256410256410256
1366	1512	42	2	0	0	0	44	2	0.045454545454545456
1367	1472	49	2	0	0	0	51	2	0.0392156862745098
1368	1485	50	2	1	0	0	53	3	0.05660377358490566
1369	1496	57	3	1	0	0	61	4	0.06557377049180328
137	1448	39	1	0	0	0	40	1	0.025
1370	1473	55	8	1	0	0	64	9	0.140625
1371	1432	44	2	0	0	0	46	2	0.043478260869565216
1372	1480	44	3	0	0	0	47	3	0.06382978723404255
1373	1466	49	2	0	0	0	51	2	0.0392156862745098
1374	1456	43	3	0	0	0	46	3	0.06521739130434782
1375	1492	49	2	0	0	0	51	2	0.0392156862745098
1376	1484	45	2	0	0	0	47	2	0.0425531914893617
1377	1497	39	4	0	0	0	43	4	0.09302325581395349
1378	1498	49	3	0	0	0	52	3	0.057692307692307696
1379	1493	38	2	0	0	0	40	2	0.05
138	1469	39	5	0	0	0	44	5	0.11363636363636363
1380	1477	54	4	0	0	0	58	4	0.06896551724137931
1381	1464	50	2	0	0	0	52	2	0.038461538461538464
1382	1466	48	3	0	0	0	51	3	0.058823529411764705
1383	1500	41	3	0	0	0	44	3	0.06818181818181818
1384	1477	52	2	1	0	0	55	3	0.05454545454545454
1385	1434	37	2	0	0	0	39	2	0.05128205128205128
1386	1506	40	2	0	0	0	42	2	0.047619047619047616
1387	1485	48	1	0	0	0	49	1	0.02040816326530612
1388	1471	52	4	0	0	0	56	4	0.07142857142857142
1389	1471	48	4	1	0	0	53	5	0.09433962264150944
139	1424	40	4	0	0	0	44	4	0.09090909090909091
1390	1484	45	6	0	0	0	51	6	0.11764705882352941
1391	1471	40	2	0	0	0	42	2	0.047619047619047616
1392	1524	43	5	1	0	0	49	6	0.12244897959183673
1393	1484	45	3	0	0	0	48	3	0.0625
1394	1477	46	2	0	0	0	48	2	0.041666666666666664
1395	1483	55	1	0	0	0	56	1	0.017857142857142856
1396	1476	58	3	0	0	0	61	3	0.04918032786885246
1397	1521	48	2	0	0	0	50	2	0.04
1398	1477	44	4	0	0	0	48	4	0.08333333333333333
1399	1465	45	4	0	0	0	49	4	0.08163265306122448
14	1456	48	4	0	0	0	52	4	0.07692307692307693
140	1469	50	3	0	0	0	53	3	0.05660377358490566
1400	1488	41	2	0	0	0	43	2	0.046511627906976744
1401	1485	46	4	0	0	0	50	4	0.08
1402	1452	47	6	0	0	0	53	6	0.11320754716981132
1403	1466	42	1	1	0	0	44	2	0.045454545454545456
1404	1480	52	2	0	0	0	54	2	0.037037037037037035
1405	1467	43	4	0	0	0	47	4	0.0851063829787234
1406	1481	36	3	0	0	0	39	3	0.07692307692307693
1407	1469	46	1	0	0	0	47	1	0.02127659574468085
1408	1479	49	1	0	0	0	50	1	0.02
1409	1479	52	3	0	0	0	55	3	0.05454545454545454
141	1470	35	2	0	0	0	37	2	0.05405405405405406
1410	1452	39	4	0	0	0	43	4	0.09302325581395349
1411	1479	45	3	0	0	0	48	3	0.0625
1412	1475	39	5	0	0	0	44	5	0.11363636363636363
1413	1442	35	1	0	0	0	36	1	0.027777777777777776
1414	1469	43	3	0	0	0	46	3	0.06521739130434782
1415	1486	44	0	0	0	0	44	0	0
1416	1480	36	1	0	0	0	37	1	0.02702702702702703
1417	1465	55	1	0	0	0	56	1	0.017857142857142856
1418	1498	39	4	0	0	0	43	4	0.09302325581395349
1419	1508	39	2	1	0	0	42	3	0.07142857142857142
142	1424	46	3	0	0	0	49	3	0.061224489795918366
1420	1480	41	2	0	0	0	43	2	0.046511627906976744
1421	1452	48	5	0	0	0	53	5	0.09433962264150944
1422	1497	39	5	0	0	0	44	5	0.11363636363636363
1423	1481	50	2	0	0	0	52	2	0.038461538461538464
1424	1449	47	1	0	0	0	48	1	0.020833333333333332
1425	1477	54	2	0	0	0	56	2	0.03571428571428571
1426	1503	39	1	0	0	0	40	1	0.025
1427	1449	38	4	1	0	0	43	5	0.11627906976744186
1428	1490	48	4	0	0	0	52	4	0.07692307692307693
1429	1454	47	2	0	0	0	49	2	0.04081632653061224
143	1451	39	4	1	0	0	44	5	0.11363636363636363
1430	1476	46	5	0	0	0	51	5	0.09803921568627451
1431	1492	34	0	0	0	0	34	0	0
1432	1475	35	3	0	0	0	38	3	0.07894736842105263
1433	1464	45	4	0	0	0	49	4	0.08163265306122448
1434	1472	48	3	0	0	0	51	3	0.058823529411764705
1435	1466	46	4	0	0	0	50	4	0.08
1436	1501	34	4	0	0	0	38	4	0.10526315789473684
1437	1433	33	1	1	0	0	35	2	0.05714285714285714
1438	1469	51	2	0	0	0	53	2	0.03773584905660377
1439	1453	41	1	0	0	0	42	1	0.023809523809523808
144	1478	41	2	0	0	0	43	2	0.046511627906976744
1440	1473	44	4	0	0	0	48	4	0.08333333333333333
1441	1492	44	0	0	0	0	44	0	0
1442	1515	47	2	0	0	0	49	2	0.04081632653061224
1443	1521	37	5	0	0	0	42	5	0.11904761904761904
