hog	anaPla	aptFor	aptHaa	aptOwe	aptRow	aquChr	balReg	calAnn	casCas	chaPel	chaVoc	colLiv	corBra	cryCin	cucCan	droNov	egrGar	eudEle	falPer	ficAlb	fulGla	galGal	geoFor	halLeu	lepDis	melGal	melUnd	mesUni	nipNip	notPer	picPub	pseHum	pygAde	rheAme	rhePen	serCan	strCam	taeGut	tinGut	align_len	avg_gapped_len	avg_ident	gaps_bp_tot	gaps_bp_avg	missing_ct	dup_ct
10062	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	332	223.41	78.88	0.27	0.27	3	0
10064	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	580	541.56	88.36	0.04	0.07	0	0
10065	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	672	630.14	96.45	0	0	0	0
10066	NA	NA	1	1	1	1	NA	NA	1	1	1	NA	NA	1	NA	1	NA	1	NA	NA	1	1	NA	1	NA	1	NA	NA	1	1	NA	NA	1	1	1	NA	1	NA	1	227	185.2	64.64	0.07	0.11	18	0
10067	NA	NA	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	NA	NA	1	1	1	1	NA	NA	1	NA	1	1	1	1	1	421	287.42	74.87	0.16	0.17	9	0
10068	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	NA	1	1	1	1	1	459	372.42	83.67	0.02	0.02	1	1
10069	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	547	447.26	81.41	0.07	0.07	0	0
1007	NA	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2244	1823.98	80.02	0.12	2.46	1	1
10071	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	813	740.05	98.69	0.04	0.04	0	0
10074	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	719	607.95	81.08	0.13	0.14	2	0
1008	1	1	1	NA	1	1	1	1	1	1	NA	1	1	2	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	NA	207	108.49	94.54	0.17	0.15	5	1
10080	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1036	881.33	92.6	0.07	0.07	0	0
10081	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	244	198.53	77.22	0.08	0.08	1	1
10083	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	469	433.45	93.57	0.03	0.04	1	0
10085	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	618	451.61	83.31	0.1	0.11	1	0
10087	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	776	594.12	85.29	0.1	0.12	0	0
10088	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	542	462.6	88.32	0.08	0.09	0	0
10090	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	435	286.88	91.03	0.32	0.33	0	0
10092	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	251	205.85	94.09	0.07	0.07	0	0
10095	2	1	1	2	1	1	1	1	1	1	1	NA	1	2	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	NA	NA	NA	1	2	2	1	1	1	2	474	357.11	74.21	0.04	0.05	4	8
10096	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	351	237.37	86.94	0.05	0.04	1	0
10098	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	868	742.95	91.7	0.06	0.05	0	0
10099	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	350	284.21	94.53	0.07	0.06	2	0
10100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	329	318.07	99.05	0.01	0.01	0	0
10101	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	726	510.19	93.77	0.31	0.34	2	0
10103	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1282	1099.7	80.31	0.06	0.08	0	0
10104	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	NA	1	1	1	2	576	388.27	96.26	0.06	0.08	1	3
10106	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1318	1207.07	88.32	0.02	0.04	0	0
10110	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	NA	1	394	305.56	95.67	0.13	0.29	4	0
10118	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1288	1175.9	87.65	0.04	0.07	0	0
10119	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	404	365.59	89.11	0.01	0.02	0	1
1012	2	1	2	2	2	2	NA	NA	2	1	1	2	1	2	1	2	NA	2	1	2	NA	2	NA	1	NA	1	1	NA	1	2	1	1	NA	2	2	1	1	1	NA	2245	1053.35	74.06	0.92	1.6	9	15
10122	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	714	631.33	98.2	0.08	0.12	0	0
10123	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	318	304.7	82.19	0.01	0.01	0	1
10124	1	1	1	1	1	1	NA	NA	1	NA	NA	NA	NA	1	NA	1	1	NA	NA	NA	1	1	NA	1	NA	1	NA	NA	1	1	NA	NA	1	1	1	NA	1	NA	NA	433	330.3	59.32	0.07	0.08	19	0
10125	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	966	816.21	96.68	0.09	0.1	1	0
10126	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	532	435.2	95.2	0.03	0.04	0	1
10127	1	1	1	1	1	1	NA	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	NA	1	1	1	NA	1	601	497.05	71.82	0.07	0.09	5	0
10129	1	1	1	1	1	1	1	1	1	1	1	NA	NA	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	240	221.98	98.96	0.01	0.01	2	1
10131	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	411	360.29	90.62	0.02	0.02	0	0
10132	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	364	338.7	83.94	0	0	0	0
10134	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	NA	1	1090	758.22	75.98	0.13	0.15	6	0
10135	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	NA	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	2	410	346.89	90.52	0.02	0.04	3	1
10136	1	NA	1	1	1	1	NA	1	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	NA	1	1	1	1	NA	1	1	1	NA	1	NA	551	404.97	89.14	0.13	0.18	10	0
10137	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	933	823.81	77.8	0.06	0.07	0	0
10138	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	341	277.7	87.24	0.08	0.11	0	0
10139	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	495	438.07	97.72	0.04	0.11	0	0
10140	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	333	229.02	93.28	0.13	0.13	0	0
10143	1	1	1	1	NA	1	1	2	1	1	1	1	1	1	2	1	2	NA	1	1	1	1	1	1	1	1	NA	1	1	NA	1	1	1	1	1	1	1	1	NA	302	231.43	86.23	0.16	0.17	5	3
10144	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	405	315.62	83.81	0.05	0.05	0	0
10146	1	NA	1	1	NA	1	1	NA	1	NA	1	1	NA	NA	NA	1	1	NA	NA	NA	1	1	NA	1	NA	1	NA	NA	1	1	NA	NA	NA	1	1	NA	1	NA	1	206	149.22	72.85	0.06	0.07	19	0
10147	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	2	1	154	134.74	83.28	0	0	1	1
10148	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	NA	106	102.85	87.41	0	0	2	1
1015	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	NA	1	1	NA	1	1	1	1	1	1	1	1	4105	2463.96	79.2	0.17	0.86	3	0
10152	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	136	126.19	86.11	0.02	0.02	1	0
10154	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	290	257.3	85.99	0.09	0.1	0	0
10157	1	1	1	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	1	1	1	1	615	542.83	94.72	0.06	0.06	7	0
10159	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	394	301.5	82.19	0.05	0.06	0	0
10160	1	1	1	1	1	1	1	NA	1	NA	1	1	1	1	NA	1	NA	1	NA	NA	1	1	NA	1	NA	1	NA	NA	1	1	NA	NA	1	1	1	NA	1	NA	1	1111	1001.41	77.29	0.02	0.03	14	0
10162	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	495	478.51	96.11	0	0	0	0
10163	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	147	140	88.22	0	0	2	0
10165	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2002	1877	93.46	0.02	0.02	0	0
10167	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	NA	1	1	NA	1	1	1	1	1	1	1	1	819	611.65	87.03	0.11	0.24	4	0
1017	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	2	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	372	287.49	93.09	0.1	0.17	2	1
10171	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	374	326.41	84.52	0.01	0.01	0	1
10173	1	1	1	1	1	1	NA	1	NA	1	NA	1	1	NA	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	NA	1	2	421	312.42	87.95	0.09	0.11	7	1
10174	1	1	1	1	1	NA	NA	1	NA	1	1	1	NA	NA	NA	NA	1	1	NA	NA	NA	1	NA	NA	NA	1	NA	1	NA	1	NA	NA	1	1	1	NA	1	NA	1	977	706.04	75.07	0.16	0.18	19	0
10175	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	469	353.98	82.98	0.09	0.1	0	0
10177	1	NA	1	1	NA	1	1	1	NA	1	1	1	1	1	NA	NA	1	NA	1	1	1	1	1	1	1	NA	1	1	1	1	NA	1	1	NA	NA	1	1	1	1	368	331.37	75.29	0.03	0.04	10	0
10181	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1675	1532.65	90.85	0.04	0.04	0	0
10182	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	398	331.95	90.49	0.02	0.02	0	0
10185	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	365	347.36	98.61	0.03	0.03	1	0
10188	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	457	428.95	93.66	0.04	0.08	2	0
10189	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	1	392	371.32	91.94	0.01	0.01	2	0
10190	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	971	862.6	84.33	0.01	0.01	0	0
10193	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	624	557.91	97	0.02	0.02	0	0
10194	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	481	423.79	97.53	0.02	0.05	0	0
10195	NA	1	1	1	1	1	1	1	1	1	1	NA	1	1	NA	1	1	1	1	NA	1	1	1	1	1	1	1	NA	1	1	1	2	1	1	1	1	NA	1	1	423	284.6	74.54	0.13	0.14	6	1
10196	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	197	189.15	85.53	0.02	0.02	1	0
10197	1	1	1	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	216	191.18	95.15	0.01	0.02	2	0
10198	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	370	270.9	85.51	0.06	0.13	1	0
10199	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	434	339.1	75.61	0.05	0.05	2	0
1020	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1	2	1	1	1	1	1	1	2	1	1	1	643	486.3	97.07	0.07	0.1	0	5
10200	1	1	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	NA	1	1	1	1	1	1	1	1	1	1	1	511	483.34	92.5	0.03	0.05	5	0
10201	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	476	408.66	92.74	0.05	0.1	2	0
10202	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	NA	1	1	2	1	1	1	NA	2	1	2	NA	2	294	209.91	60	0.04	0.04	3	8
10203	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	473	371	96.48	0.08	0.09	1	0
10204	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1368	1219.53	87.81	0.05	0.21	0	0
10207	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	664	601.81	90.52	0.01	0.23	0	0
10209	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1561	1512.88	94.69	0.01	0.03	0	0
1021	1	NA	1	1	1	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	1	1	NA	1	1	1	2	1	1	1	1	2	1	2	1	2309	1512.13	81.71	0.11	0.43	6	3
10212	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	671	604.91	97.88	0.02	0.03	0	0
10213	NA	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	2	2	3	265	202.05	91.45	0.04	0.04	1	8
10215	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	153	118.21	89.27	0.09	0.09	1	0
10216	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	195	162.29	91.99	0.08	0.08	1	0
