# Assembly name:  Gallus_gallus-4.0
# Organism name:  Gallus gallus (chicken)
# Infraspecific name:  breed=Red Jungle fowl, inbred line UCD001
# Isolate:  #256
# Sex:  female
# Taxid:          9031
# BioSample:      SAMN02981218
# BioProject:     PRJNA10808
# Submitter:      International Chicken Genome Consortium
# Date:           2011-11-22
# Synonyms:       galGal4	
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AADN03
# Assembly method: Celera Assembler v. 5.4
# Genome coverage: 12X
# Sequencing technology: Sanger; 454
# GenBank assembly accession: GCA_000002315.2
# RefSeq assembly accession: GCF_000002315.3
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000000185.2	GCF_000000185.2	Primary Assembly
## 	GCF_000184395.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Chr1_random_7180000970678	unlocalized-scaffold	1	Chromosome	AADN03009370.1	=	NW_003764439.1	Primary Assembly	1400	chr1_AADN03009370_random
Chr1_random_7180000973090	unlocalized-scaffold	1	Chromosome	AADN03009371.1	=	NW_003764472.1	Primary Assembly	1224	chr1_AADN03009371_random
Chr1_random_7180000963013	unlocalized-scaffold	1	Chromosome	AADN03009372.1	=	NW_003764397.1	Primary Assembly	1038	chr1_AADN03009372_random
Chr1_random_7180000972600	unlocalized-scaffold	1	Chromosome	AADN03009373.1	=	NW_003764467.1	Primary Assembly	1185	chr1_AADN03009373_random
Chr1_random_7180000979929	unlocalized-scaffold	1	Chromosome	AADN03009374.1	=	NW_003764528.1	Primary Assembly	933	chr1_AADN03009374_random
Chr1_random_7180000973274	unlocalized-scaffold	1	Chromosome	AADN03009375.1	=	NW_003764476.1	Primary Assembly	1087	chr1_AADN03009375_random
Chr1_random_7180000972974	unlocalized-scaffold	1	Chromosome	AADN03009376.1	=	NW_003764470.1	Primary Assembly	1277	chr1_AADN03009376_random
Chr1_random_7180000963988	unlocalized-scaffold	1	Chromosome	AADN03009377.1	=	NW_003764402.1	Primary Assembly	1119	chr1_AADN03009377_random
Chr1_random_7180000961724	unlocalized-scaffold	1	Chromosome	AADN03009379.1	=	NW_003764380.1	Primary Assembly	1239	chr1_AADN03009379_random
Chr1_random_7180000973347	unlocalized-scaffold	1	Chromosome	AADN03009380.1	=	NW_003764479.1	Primary Assembly	1184	chr1_AADN03009380_random
Chr1_random_7180000966166	unlocalized-scaffold	1	Chromosome	AADN03009381.1	=	NW_003764426.1	Primary Assembly	1312	chr1_AADN03009381_random
Chr1_random_7180000962714	unlocalized-scaffold	1	Chromosome	AADN03009382.1	=	NW_003764392.1	Primary Assembly	1195	chr1_AADN03009382_random
Chr1_random_7180000977114	unlocalized-scaffold	1	Chromosome	AADN03009384.1	=	NW_003764504.1	Primary Assembly	1045	chr1_AADN03009384_random
Chr1_random_7180000979134	unlocalized-scaffold	1	Chromosome	AADN03009385.1	=	NW_003764517.1	Primary Assembly	13673	chr1_AADN03009385_random
Chr1_random_7180000965969	unlocalized-scaffold	1	Chromosome	AADN03009386.1	=	NW_003764423.1	Primary Assembly	1541	chr1_AADN03009386_random
Chr1_random_7180000962316	unlocalized-scaffold	1	Chromosome	AADN03009388.1	=	NW_003764388.1	Primary Assembly	20138	chr1_AADN03009388_random
Chr1_random_7180000961717	unlocalized-scaffold	1	Chromosome	AADN03009389.1	=	NW_003764379.1	Primary Assembly	1023	chr1_AADN03009389_random
Chr1_random_7180000971952	unlocalized-scaffold	1	Chromosome	AADN03009390.1	=	NW_003764456.1	Primary Assembly	1044	chr1_AADN03009390_random
Chr1_random_7180000973410	unlocalized-scaffold	1	Chromosome	AADN03009391.1	=	NW_003764480.1	Primary Assembly	1390	chr1_AADN03009391_random
Chr1_random_7180000962713	unlocalized-scaffold	1	Chromosome	AADN03009394.1	=	NW_003764391.1	Primary Assembly	8577	chr1_AADN03009394_random
Chr1_random_7180000971052	unlocalized-scaffold	1	Chromosome	AADN03009395.1	=	NW_003764447.1	Primary Assembly	1010	chr1_AADN03009395_random
Chr1_random_7180000964600	unlocalized-scaffold	1	Chromosome	AADN03009396.1	=	NW_003764412.1	Primary Assembly	1058	chr1_AADN03009396_random
Chr1_random_7180000977495	unlocalized-scaffold	1	Chromosome	AADN03009397.1	=	NW_003764506.1	Primary Assembly	1024	chr1_AADN03009397_random
Chr1_random_7180000963749	unlocalized-scaffold	1	Chromosome	AADN03009398.1	=	NW_003764401.1	Primary Assembly	1132	chr1_AADN03009398_random
Chr1_random_7180000970539	unlocalized-scaffold	1	Chromosome	AADN03009399.1	=	NW_003764433.1	Primary Assembly	12580	chr1_AADN03009399_random
Chr1_random_7180000963417	unlocalized-scaffold	1	Chromosome	AADN03009400.1	=	NW_003764398.1	Primary Assembly	1851	chr1_AADN03009400_random
Chr1_random_7180000973229	unlocalized-scaffold	1	Chromosome	AADN03009401.1	=	NW_003764475.1	Primary Assembly	5127	chr1_AADN03009401_random
Chr1_random_7180000978945	unlocalized-scaffold	1	Chromosome	AADN03009402.1	=	NW_003764508.1	Primary Assembly	28602	chr1_AADN03009402_random
Chr1_random_7180000970528	unlocalized-scaffold	1	Chromosome	AADN03009403.1	=	NW_003764432.1	Primary Assembly	6824	chr1_AADN03009403_random
Chr1_random_7180000962221	unlocalized-scaffold	1	Chromosome	AADN03009404.1	=	NW_003764387.1	Primary Assembly	7670	chr1_AADN03009404_random
Chr1_random_7180000975191	unlocalized-scaffold	1	Chromosome	AADN03009405.1	=	NW_003764491.1	Primary Assembly	1523	chr1_AADN03009405_random
Chr1_random_7180000971051	unlocalized-scaffold	1	Chromosome	AADN03009406.1	=	NW_003764446.1	Primary Assembly	1419	chr1_AADN03009406_random
Chr1_random_7180000973174	unlocalized-scaffold	1	Chromosome	AADN03009407.1	=	NW_003764474.1	Primary Assembly	1482	chr1_AADN03009407_random
Chr1_random_7180000965122	unlocalized-scaffold	1	Chromosome	AADN03009408.1	=	NW_003764416.1	Primary Assembly	1218	chr1_AADN03009408_random
Chr1_random_7180000979711	unlocalized-scaffold	1	Chromosome	AADN03009410.1	=	NW_003764522.1	Primary Assembly	6351	chr1_AADN03009410_random
Chr1_random_7180000973797	unlocalized-scaffold	1	Chromosome	AADN03009411.1	=	NW_003764484.1	Primary Assembly	1045	chr1_AADN03009411_random
Chr1_random_7180000963741	unlocalized-scaffold	1	Chromosome	AADN03009412.1	=	NW_003764400.1	Primary Assembly	1021	chr1_AADN03009412_random
Chr1_random_7180000967921	unlocalized-scaffold	1	Chromosome	AADN03009413.1	=	NW_003764428.1	Primary Assembly	1340	chr1_AADN03009413_random
Chr1_random_7180000972350	unlocalized-scaffold	1	Chromosome	AADN03009415.1	=	NW_003764462.1	Primary Assembly	1115	chr1_AADN03009415_random
Chr1_random_7180000971852	unlocalized-scaffold	1	Chromosome	AADN03009416.1	=	NW_003764454.1	Primary Assembly	1118	chr1_AADN03009416_random
Chr1_random_7180000979015	unlocalized-scaffold	1	Chromosome	AADN03009418.1	=	NW_003764514.1	Primary Assembly	21948	chr1_AADN03009418_random
Chr1_random_7180000973306	unlocalized-scaffold	1	Chromosome	AADN03009419.1	=	NW_003764477.1	Primary Assembly	1211	chr1_AADN03009419_random
Chr1_random_7180000975364	unlocalized-scaffold	1	Chromosome	AADN03009420.1	=	NW_003764493.1	Primary Assembly	1333	chr1_AADN03009420_random
Chr1_random_7180000963706	unlocalized-scaffold	1	Chromosome	AADN03009421.1	=	NW_003764399.1	Primary Assembly	1204	chr1_AADN03009421_random
Chr1_random_7180000970622	unlocalized-scaffold	1	Chromosome	AADN03009424.1	=	NW_003764436.1	Primary Assembly	12211	chr1_AADN03009424_random
Chr1_random_7180000979089	unlocalized-scaffold	1	Chromosome	AADN03009425.1	=	NW_003764516.1	Primary Assembly	10991	chr1_AADN03009425_random
Chr1_random_7180000965839	unlocalized-scaffold	1	Chromosome	AADN03009426.1	=	NW_003764421.1	Primary Assembly	1180	chr1_AADN03009426_random
