# Assembly name:  Gallus_gallus-5.0
# Organism name:  Gallus gallus (chicken)
# Infraspecific name:  breed=Red Jungle fowl, inbred line UCD001
# Isolate:  RJF #256
# Sex:  female
# Taxid:          9031
# BioSample:      SAMN02981218
# BioProject:     PRJNA10808
# Submitter:      International Chicken Genome Consortium
# Date:           2015-12-16
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AADN04
# Assembly method: MHAP/PBcR v. 8.2beta
# Genome coverage: 70x
# Sequencing technology: Sanger; 454; Illumina; PacBio
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000002315.3
# RefSeq assembly accession: GCF_000002315.4
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000000185.3	GCF_000000185.3	Primary Assembly
## 	GCF_000184395.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
chr23	assembled-molecule	23	Chromosome	CM000115.4	=	NC_006110.4	Primary Assembly	5786528	na
chr24	assembled-molecule	24	Chromosome	CM000116.4	=	NC_006111.4	Primary Assembly	6280547	na
chr25	assembled-molecule	25	Chromosome	CM000124.4	=	NC_006112.3	Primary Assembly	2906300	na
chr26	assembled-molecule	26	Chromosome	CM000117.4	=	NC_006113.4	Primary Assembly	5313770	na
chr27	assembled-molecule	27	Chromosome	CM000118.4	=	NC_006114.4	Primary Assembly	5655794	na
chr28	assembled-molecule	28	Chromosome	CM000119.4	=	NC_006115.4	Primary Assembly	4974273	na
chr30	assembled-molecule	30	Chromosome	CM003637.1	=	NC_028739.1	Primary Assembly	24927	na
chr31	assembled-molecule	31	Chromosome	CM003638.1	=	NC_028740.1	Primary Assembly	49161	na
chr32	assembled-molecule	32	Chromosome	CM000120.3	=	NC_006119.3	Primary Assembly	78254	na
chr33	assembled-molecule	33	Chromosome	CM000123.4	=	NC_008465.3	Primary Assembly	1648031	na
chrW	assembled-molecule	W	Chromosome	CM000121.4	=	NC_006126.4	Primary Assembly	5160035	na
chrZ	assembled-molecule	Z	Chromosome	CM000122.4	=	NC_006127.4	Primary Assembly	82310166	na
chrLGE64	assembled-molecule	LGE64	Linkage Group	CM000367.3	=	NC_008466.3	Primary Assembly	897576	na
chr1random_Scaffold806	unlocalized-scaffold	1	Chromosome	AADN04000798.1	=	NT_456096.1	Primary Assembly	55229	na
chr1random_Scaffold807	unlocalized-scaffold	1	Chromosome	AADN04000799.1	=	NT_456097.1	Primary Assembly	55430	na
chr1random_Scaffold896	unlocalized-scaffold	1	Chromosome	AADN04000857.1	=	NT_456098.1	Primary Assembly	44988	na
chr1random_Scaffold913	unlocalized-scaffold	1	Chromosome	AADN04000866.1	=	NT_456099.1	Primary Assembly	45367	na
chr1random_Scaffold926	unlocalized-scaffold	1	Chromosome	AADN04000874.1	=	NT_456100.1	Primary Assembly	44695	na
chr1random_Scaffold989	unlocalized-scaffold	1	Chromosome	AADN04000909.1	=	NT_456101.1	Primary Assembly	40979	na
chr1random_Scaffold1028	unlocalized-scaffold	1	Chromosome	AADN04000938.1	=	NT_456102.1	Primary Assembly	38246	na
chr1random_Scaffold1057	unlocalized-scaffold	1	Chromosome	AADN04000956.1	=	NT_456103.1	Primary Assembly	37180	na
chr1random_Scaffold1072	unlocalized-scaffold	1	Chromosome	AADN04000973.1	=	NT_456104.1	Primary Assembly	36668	na
chr1random_Scaffold1089	unlocalized-scaffold	1	Chromosome	AADN04000988.1	=	NT_456105.1	Primary Assembly	36130	na
chr1random_Scaffold1110	unlocalized-scaffold	1	Chromosome	AADN04001000.1	=	NT_456106.1	Primary Assembly	35412	na
chr1random_Scaffold1145	unlocalized-scaffold	1	Chromosome	AADN04001029.1	=	NT_456108.1	Primary Assembly	34311	na
chr1random_Scaffold1175	unlocalized-scaffold	1	Chromosome	AADN04001056.1	=	NT_456109.1	Primary Assembly	33472	na
chr1random_Scaffold1213	unlocalized-scaffold	1	Chromosome	AADN04001085.1	=	NT_456110.1	Primary Assembly	32534	na
chr1random_Scaffold1218	unlocalized-scaffold	1	Chromosome	AADN04001089.1	=	NT_456111.1	Primary Assembly	32443	na
chr1random_Scaffold1249	unlocalized-scaffold	1	Chromosome	AADN04001110.1	=	NT_456112.1	Primary Assembly	31762	na
chr1random_Scaffold1252	unlocalized-scaffold	1	Chromosome	AADN04001113.1	=	NT_456113.1	Primary Assembly	31764	na
chr1random_Scaffold1257	unlocalized-scaffold	1	Chromosome	AADN04001117.1	=	NT_456114.1	Primary Assembly	31516	na
chr1random_Scaffold1337	unlocalized-scaffold	1	Chromosome	AADN04001189.1	=	NT_456115.1	Primary Assembly	29921	na
chr1random_Scaffold1370	unlocalized-scaffold	1	Chromosome	AADN04001219.1	=	NT_456116.1	Primary Assembly	29377	na
chr1random_Scaffold1402	unlocalized-scaffold	1	Chromosome	AADN04001251.1	=	NT_456117.1	Primary Assembly	28847	na
chr1random_Scaffold1414	unlocalized-scaffold	1	Chromosome	AADN04001260.1	=	NT_456118.1	Primary Assembly	28602	na
chr1random_Scaffold1418	unlocalized-scaffold	1	Chromosome	AADN04001263.1	=	NT_456119.1	Primary Assembly	28587	na
chr1random_Scaffold1425	unlocalized-scaffold	1	Chromosome	AADN04001269.1	=	NT_456120.1	Primary Assembly	28619	na
chr1random_Scaffold1432	unlocalized-scaffold	1	Chromosome	AADN04001275.1	=	NT_456121.1	Primary Assembly	28486	na
chr1random_Scaffold1450	unlocalized-scaffold	1	Chromosome	AADN04001289.1	=	NT_456122.1	Primary Assembly	28231	na
chr1random_Scaffold1474	unlocalized-scaffold	1	Chromosome	AADN04001305.1	=	NT_456123.1	Primary Assembly	27953	na
chr1random_Scaffold1486	unlocalized-scaffold	1	Chromosome	AADN04001317.1	=	NT_456124.1	Primary Assembly	27831	na
chr1random_Scaffold1491	unlocalized-scaffold	1	Chromosome	AADN04001322.1	=	NT_456125.1	Primary Assembly	27794	na
chr1random_Scaffold1542	unlocalized-scaffold	1	Chromosome	AADN04001361.1	=	NT_456127.1	Primary Assembly	27322	na
chr1random_Scaffold1554	unlocalized-scaffold	1	Chromosome	AADN04001372.1	=	NT_456128.1	Primary Assembly	27233	na
chr1random_Scaffold1584	unlocalized-scaffold	1	Chromosome	AADN04001399.1	=	NT_456129.1	Primary Assembly	26859	na
chr1random_Scaffold1613	unlocalized-scaffold	1	Chromosome	AADN04001425.1	=	NT_456130.1	Primary Assembly	26698	na
chr1random_Scaffold1622	unlocalized-scaffold	1	Chromosome	AADN04001431.1	=	NT_456131.1	Primary Assembly	26539	na
chr1random_Scaffold1642	unlocalized-scaffold	1	Chromosome	AADN04001451.1	=	NT_456132.1	Primary Assembly	26394	na
chr1random_Scaffold1672	unlocalized-scaffold	1	Chromosome	AADN04001476.1	=	NT_456133.1	Primary Assembly	26093	na
chr1random_Scaffold1726	unlocalized-scaffold	1	Chromosome	AADN04001522.1	=	NT_456136.1	Primary Assembly	25538	na
chr1random_Scaffold1741	unlocalized-scaffold	1	Chromosome	AADN04001534.1	=	NT_456137.1	Primary Assembly	25403	na
chr1random_Scaffold1757	unlocalized-scaffold	1	Chromosome	AADN04001547.1	=	NT_456138.1	Primary Assembly	25194	na
chr1random_Scaffold1763	unlocalized-scaffold	1	Chromosome	AADN04001552.1	=	NT_456139.1	Primary Assembly	25220	na
chr1random_Scaffold1779	unlocalized-scaffold	1	Chromosome	AADN04001568.1	=	NT_456140.1	Primary Assembly	24947	na
chr1random_Scaffold1789	unlocalized-scaffold	1	Chromosome	AADN04001577.1	=	NT_456141.1	Primary Assembly	24855	na
chr1random_Scaffold1813	unlocalized-scaffold	1	Chromosome	AADN04001598.1	=	NT_456142.1	Primary Assembly	24659	na
chr1random_Scaffold1824	unlocalized-scaffold	1	Chromosome	AADN04001608.1	=	NT_456143.1	Primary Assembly	24542	na
chr1random_Scaffold1838	unlocalized-scaffold	1	Chromosome	AADN04001618.1	=	NT_456144.1	Primary Assembly	24524	na
chr1random_Scaffold1878	unlocalized-scaffold	1	Chromosome	AADN04001652.1	=	NT_456145.1	Primary Assembly	24111	na
chr1random_Scaffold1888	unlocalized-scaffold	1	Chromosome	AADN04001662.1	=	NT_456146.1	Primary Assembly	24041	na
chr1random_Scaffold1904	unlocalized-scaffold	1	Chromosome	AADN04001678.1	=	NT_456148.1	Primary Assembly	23982	na
chr1random_Scaffold1913	unlocalized-scaffold	1	Chromosome	AADN04001686.1	=	NT_456149.1	Primary Assembly	23909	na
chr1random_Scaffold1930	unlocalized-scaffold	1	Chromosome	AADN04001702.1	=	NT_456150.1	Primary Assembly	23805	na
chr1random_Scaffold1939	unlocalized-scaffold	1	Chromosome	AADN04001711.1	=	NT_456151.1	Primary Assembly	23746	na
chr1random_Scaffold1940	unlocalized-scaffold	1	Chromosome	AADN04001712.1	=	NT_456152.1	Primary Assembly	23892	na
chr1random_Scaffold1986	unlocalized-scaffold	1	Chromosome	AADN04001756.1	=	NT_456153.1	Primary Assembly	23391	na
chr1random_Scaffold2001	unlocalized-scaffold	1	Chromosome	AADN04001769.1	=	NT_456154.1	Primary Assembly	23297	na
chr1random_Scaffold2021	unlocalized-scaffold	1	Chromosome	AADN04001787.1	=	NT_456155.1	Primary Assembly	23169	na
chr1random_Scaffold2028	unlocalized-scaffold	1	Chromosome	AADN04001793.1	=	NT_456156.1	Primary Assembly	22596	na
chr1random_Scaffold2047	unlocalized-scaffold	1	Chromosome	AADN04001811.1	=	NT_456157.1	Primary Assembly	22992	na
chr1random_Scaffold2088	unlocalized-scaffold	1	Chromosome	AADN04001845.1	=	NT_456158.1	Primary Assembly	22717	na
chr1random_Scaffold2115	unlocalized-scaffold	1	Chromosome	AADN04001872.1	=	NT_456159.1	Primary Assembly	22721	na
chr1random_Scaffold2118	unlocalized-scaffold	1	Chromosome	AADN04001875.1	=	NT_456160.1	Primary Assembly	22718	na
chr1random_Scaffold2121	unlocalized-scaffold	1	Chromosome	AADN04001878.1	=	NT_456161.1	Primary Assembly	22623	na
chr1random_Scaffold2139	unlocalized-scaffold	1	Chromosome	AADN04001893.1	=	NT_456162.1	Primary Assembly	22489	na
chr1random_Scaffold2173	unlocalized-scaffold	1	Chromosome	AADN04001921.1	=	NT_456163.1	Primary Assembly	22367	na
chr1random_Scaffold2295	unlocalized-scaffold	1	Chromosome	AADN04002029.1	=	NT_456164.1	Primary Assembly	21686	na
chr1random_Scaffold2298	unlocalized-scaffold	1	Chromosome	AADN04002032.1	=	NT_456165.1	Primary Assembly	21744	na
chr1random_Scaffold2301	unlocalized-scaffold	1	Chromosome	AADN04002035.1	=	NT_456166.1	Primary Assembly	21671	na
chr1random_Scaffold2304	unlocalized-scaffold	1	Chromosome	AADN04002038.1	=	NT_456167.1	Primary Assembly	21684	na
chr1random_Scaffold2349	unlocalized-scaffold	1	Chromosome	AADN04002080.1	=	NT_456168.1	Primary Assembly	21466	na
chr1random_Scaffold2433	unlocalized-scaffold	1	Chromosome	AADN04002154.1	=	NT_456169.1	Primary Assembly	21093	na
chr1random_Scaffold2474	unlocalized-scaffold	1	Chromosome	AADN04002195.1	=	NT_456170.1	Primary Assembly	20884	na
chr1random_Scaffold2483	unlocalized-scaffold	1	Chromosome	AADN04002202.1	=	NT_456171.1	Primary Assembly	21026	na
chr1random_Scaffold2493	unlocalized-scaffold	1	Chromosome	AADN04002212.1	=	NT_456172.1	Primary Assembly	20874	na
chr1random_Scaffold2537	unlocalized-scaffold	1	Chromosome	AADN04002248.1	=	NT_456173.1	Primary Assembly	20651	na
chr1random_Scaffold2538	unlocalized-scaffold	1	Chromosome	AADN04002249.1	=	NT_456174.1	Primary Assembly	20752	na
chr1random_Scaffold2553	unlocalized-scaffold	1	Chromosome	AADN04002262.1	=	NT_456175.1	Primary Assembly	20657	na
chr1random_Scaffold2557	unlocalized-scaffold	1	Chromosome	AADN04002266.1	=	NT_456176.1	Primary Assembly	20583	na
chr1random_Scaffold2569	unlocalized-scaffold	1	Chromosome	AADN04002275.1	=	NT_456177.1	Primary Assembly	20543	na
chr1random_Scaffold2639	unlocalized-scaffold	1	Chromosome	AADN04002336.1	=	NT_456178.1	Primary Assembly	20326	na
chr1random_Scaffold2646	unlocalized-scaffold	1	Chromosome	AADN04002343.1	=	NT_456179.1	Primary Assembly	20300	na
chr1random_Scaffold2742	unlocalized-scaffold	1	Chromosome	AADN04002428.1	=	NT_456181.1	Primary Assembly	19964	na
chr1random_Scaffold2750	unlocalized-scaffold	1	Chromosome	AADN04002435.1	=	NT_456182.1	Primary Assembly	19928	na
chr1random_Scaffold2754	unlocalized-scaffold	1	Chromosome	AADN04002439.1	=	NT_456183.1	Primary Assembly	20030	na
chr1random_Scaffold2806	unlocalized-scaffold	1	Chromosome	AADN04002486.1	=	NT_456184.1	Primary Assembly	19718	na
chr1random_Scaffold2810	unlocalized-scaffold	1	Chromosome	AADN04002489.1	=	NT_456185.1	Primary Assembly	19866	na
chr1random_Scaffold2823	unlocalized-scaffold	1	Chromosome	AADN04002502.1	=	NT_456186.1	Primary Assembly	19665	na
chr1random_Scaffold2832	unlocalized-scaffold	1	Chromosome	AADN04002511.1	=	NT_456187.1	Primary Assembly	19635	na
chr1random_Scaffold2840	unlocalized-scaffold	1	Chromosome	AADN04002519.1	=	NT_456189.1	Primary Assembly	19736	na
chr1random_Scaffold2847	unlocalized-scaffold	1	Chromosome	AADN04002526.1	=	NT_456190.1	Primary Assembly	19587	na
chr1random_Scaffold2852	unlocalized-scaffold	1	Chromosome	AADN04002529.1	=	NT_456191.1	Primary Assembly	19865	na
chr1random_Scaffold2890	unlocalized-scaffold	1	Chromosome	AADN04002567.1	=	NT_456193.1	Primary Assembly	19532	na
chr1random_Scaffold2904	unlocalized-scaffold	1	Chromosome	AADN04002581.1	=	NT_456194.1	Primary Assembly	19447	na
chr1random_Scaffold2912	unlocalized-scaffold	1	Chromosome	AADN04002587.1	=	NT_456195.1	Primary Assembly	19373	na
chr1random_Scaffold2924	unlocalized-scaffold	1	Chromosome	AADN04002599.1	=	NT_456196.1	Primary Assembly	19330	na
chr1random_Scaffold2969	unlocalized-scaffold	1	Chromosome	AADN04002645.1	=	NT_456197.1	Primary Assembly	19215	na
chr1random_Scaffold3001	unlocalized-scaffold	1	Chromosome	AADN04002673.1	=	NT_456198.1	Primary Assembly	19079	na
chr1random_Scaffold3068	unlocalized-scaffold	1	Chromosome	AADN04002734.1	=	NT_456199.1	Primary Assembly	18888	na
chr1random_Scaffold3091	unlocalized-scaffold	1	Chromosome	AADN04002756.1	=	NT_456200.1	Primary Assembly	18837	na
chr1random_Scaffold3148	unlocalized-scaffold	1	Chromosome	AADN04002808.1	=	NT_456201.1	Primary Assembly	18747	na
chr1random_Scaffold3160	unlocalized-scaffold	1	Chromosome	AADN04002820.1	=	NT_456202.1	Primary Assembly	18650	na
chr1random_Scaffold3176	unlocalized-scaffold	1	Chromosome	AADN04002836.1	=	NT_456203.1	Primary Assembly	18622	na
chr1random_Scaffold3216	unlocalized-scaffold	1	Chromosome	AADN04002871.1	=	NT_456204.1	Primary Assembly	18584	na
chr1random_Scaffold3219	unlocalized-scaffold	1	Chromosome	AADN04002874.1	=	NT_456205.1	Primary Assembly	18487	na
chr1random_Scaffold3228	unlocalized-scaffold	1	Chromosome	AADN04002884.1	=	NT_456206.1	Primary Assembly	18475	na
chr1random_Scaffold3262	unlocalized-scaffold	1	Chromosome	AADN04002914.1	=	NT_456207.1	Primary Assembly	18399	na
chr1random_Scaffold3264	unlocalized-scaffold	1	Chromosome	AADN04002916.1	=	NT_456208.1	Primary Assembly	18423	na
chr1random_Scaffold3274	unlocalized-scaffold	1	Chromosome	AADN04002926.1	=	NT_456209.1	Primary Assembly	18469	na
chr1random_Scaffold3295	unlocalized-scaffold	1	Chromosome	AADN04002947.1	=	NT_456211.1	Primary Assembly	18289	na
chr1random_Scaffold3305	unlocalized-scaffold	1	Chromosome	AADN04002956.1	=	NT_456212.1	Primary Assembly	18267	na
chr1random_Scaffold3321	unlocalized-scaffold	1	Chromosome	AADN04002967.1	=	NT_456213.1	Primary Assembly	18363	na
chr1random_Scaffold3379	unlocalized-scaffold	1	Chromosome	AADN04003021.1	=	NT_456214.1	Primary Assembly	18070	na
chr1random_Scaffold3394	unlocalized-scaffold	1	Chromosome	AADN04003031.1	=	NT_456215.1	Primary Assembly	18024	na
chr1random_Scaffold3427	unlocalized-scaffold	1	Chromosome	AADN04003064.1	=	NT_456216.1	Primary Assembly	18274	na
chr1random_Scaffold3440	unlocalized-scaffold	1	Chromosome	AADN04003077.1	=	NT_456217.1	Primary Assembly	17916	na
chr1random_Scaffold3445	unlocalized-scaffold	1	Chromosome	AADN04003081.1	=	NT_456218.1	Primary Assembly	17909	na
chr1random_Scaffold3451	unlocalized-scaffold	1	Chromosome	AADN04003087.1	=	NT_456219.1	Primary Assembly	17888	na
chr1random_Scaffold3472	unlocalized-scaffold	1	Chromosome	AADN04003104.1	=	NT_456220.1	Primary Assembly	17852	na
chr1random_Scaffold3482	unlocalized-scaffold	1	Chromosome	AADN04003115.1	=	NT_456221.1	Primary Assembly	17991	na
chr1random_Scaffold3520	unlocalized-scaffold	1	Chromosome	AADN04003151.1	=	NT_456222.1	Primary Assembly	17998	na
chr1random_Scaffold3547	unlocalized-scaffold	1	Chromosome	AADN04003176.1	=	NT_456223.1	Primary Assembly	17929	na
chr1random_Scaffold3560	unlocalized-scaffold	1	Chromosome	AADN04003187.1	=	NT_456224.1	Primary Assembly	17641	na
chr1random_Scaffold3606	unlocalized-scaffold	1	Chromosome	AADN04003229.1	=	NT_456226.1	Primary Assembly	17543	na
chr1random_Scaffold3631	unlocalized-scaffold	1	Chromosome	AADN04003254.1	=	NT_456227.1	Primary Assembly	17533	na
chr1random_Scaffold3634	unlocalized-scaffold	1	Chromosome	AADN04003257.1	=	NT_456228.1	Primary Assembly	17489	na
chr1random_Scaffold3654	unlocalized-scaffold	1	Chromosome	AADN04003275.1	=	NT_456229.1	Primary Assembly	17546	na
chr1random_Scaffold3679	unlocalized-scaffold	1	Chromosome	AADN04003297.1	=	NT_456230.1	Primary Assembly	17405	na
chr1random_Scaffold3682	unlocalized-scaffold	1	Chromosome	AADN04003300.1	=	NT_456231.1	Primary Assembly	17402	na
chr1random_Scaffold3695	unlocalized-scaffold	1	Chromosome	AADN04003311.1	=	NT_456232.1	Primary Assembly	17366	na
chr1random_Scaffold3731	unlocalized-scaffold	1	Chromosome	AADN04003343.1	=	NT_456233.1	Primary Assembly	17386	na
chr1random_Scaffold3758	unlocalized-scaffold	1	Chromosome	AADN04003367.1	=	NT_456234.1	Primary Assembly	17235	na
chr1random_Scaffold3860	unlocalized-scaffold	1	Chromosome	AADN04003456.1	=	NT_456235.1	Primary Assembly	17012	na
chr1random_Scaffold3882	unlocalized-scaffold	1	Chromosome	AADN04003476.1	=	NT_456236.1	Primary Assembly	16967	na
chr1random_Scaffold3904	unlocalized-scaffold	1	Chromosome	AADN04003499.1	=	NT_456237.1	Primary Assembly	16932	na
chr1random_Scaffold3923	unlocalized-scaffold	1	Chromosome	AADN04003516.1	=	NT_456238.1	Primary Assembly	16887	na
chr1random_Scaffold3935	unlocalized-scaffold	1	Chromosome	AADN04003527.1	=	NT_456239.1	Primary Assembly	16886	na
chr1random_Scaffold3945	unlocalized-scaffold	1	Chromosome	AADN04003536.1	=	NT_456240.1	Primary Assembly	16892	na
chr1random_Scaffold3961	unlocalized-scaffold	1	Chromosome	AADN04003553.1	=	NT_456241.1	Primary Assembly	16821	na
chr1random_Scaffold3967	unlocalized-scaffold	1	Chromosome	AADN04003559.1	=	NT_456242.1	Primary Assembly	16862	na
chr1random_Scaffold4002	unlocalized-scaffold	1	Chromosome	AADN04003590.1	=	NT_456243.1	Primary Assembly	16751	na
chr1random_Scaffold4006	unlocalized-scaffold	1	Chromosome	AADN04003593.1	=	NT_456244.1	Primary Assembly	16735	na
chr1random_Scaffold4032	unlocalized-scaffold	1	Chromosome	AADN04003619.1	=	NT_456245.1	Primary Assembly	16669	na
chr1random_Scaffold4064	unlocalized-scaffold	1	Chromosome	AADN04003645.1	=	NT_456246.1	Primary Assembly	16689	na
chr1random_Scaffold4069	unlocalized-scaffold	1	Chromosome	AADN04003650.1	=	NT_456247.1	Primary Assembly	16589	na
chr1random_Scaffold4071	unlocalized-scaffold	1	Chromosome	AADN04003652.1	=	NT_456248.1	Primary Assembly	16593	na
chr1random_Scaffold4128	unlocalized-scaffold	1	Chromosome	AADN04003704.1	=	NT_456249.1	Primary Assembly	16631	na
chr1random_Scaffold4129	unlocalized-scaffold	1	Chromosome	AADN04003705.1	=	NT_456250.1	Primary Assembly	16603	na
chr1random_Scaffold4149	unlocalized-scaffold	1	Chromosome	AADN04003723.1	=	NT_456251.1	Primary Assembly	16491	na
chr1random_Scaffold4165	unlocalized-scaffold	1	Chromosome	AADN04003737.1	=	NT_456252.1	Primary Assembly	16390	na
chr1random_Scaffold4192	unlocalized-scaffold	1	Chromosome	AADN04003764.1	=	NT_456253.1	Primary Assembly	16347	na
chr1random_Scaffold4212	unlocalized-scaffold	1	Chromosome	AADN04003784.1	=	NT_456254.1	Primary Assembly	16307	na
chr1random_Scaffold4216	unlocalized-scaffold	1	Chromosome	AADN04003788.1	=	NT_456255.1	Primary Assembly	16303	na
chr1random_Scaffold4237	unlocalized-scaffold	1	Chromosome	AADN04003808.1	=	NT_456256.1	Primary Assembly	16476	na
chr1random_Scaffold4297	unlocalized-scaffold	1	Chromosome	AADN04003863.1	=	NT_456257.1	Primary Assembly	16157	na
chr1random_Scaffold4302	unlocalized-scaffold	1	Chromosome	AADN04003868.1	=	NT_456258.1	Primary Assembly	16133	na
chr1random_Scaffold4348	unlocalized-scaffold	1	Chromosome	AADN04003913.1	=	NT_456260.1	Primary Assembly	16039	na
chr1random_Scaffold4393	unlocalized-scaffold	1	Chromosome	AADN04003957.1	=	NT_456262.1	Primary Assembly	16007	na
chr1random_Scaffold4403	unlocalized-scaffold	1	Chromosome	AADN04003965.1	=	NT_456263.1	Primary Assembly	15930	na
chr1random_Scaffold4420	unlocalized-scaffold	1	Chromosome	AADN04003982.1	=	NT_456264.1	Primary Assembly	15898	na
chr1random_Scaffold4433	unlocalized-scaffold	1	Chromosome	AADN04003993.1	=	NT_456265.1	Primary Assembly	15879	na
chr1random_Scaffold4439	unlocalized-scaffold	1	Chromosome	AADN04003999.1	=	NT_456266.1	Primary Assembly	15980	na
chr1random_Scaffold4446	unlocalized-scaffold	1	Chromosome	AADN04004005.1	=	NT_456267.1	Primary Assembly	15854	na
chr1random_Scaffold4476	unlocalized-scaffold	1	Chromosome	AADN04004033.1	=	NT_456268.1	Primary Assembly	15812	na
chr1random_Scaffold4483	unlocalized-scaffold	1	Chromosome	AADN04004039.1	=	NT_456269.1	Primary Assembly	15953	na
chr1random_Scaffold4489	unlocalized-scaffold	1	Chromosome	AADN04004045.1	=	NT_456270.1	Primary Assembly	15813	na
chr1random_Scaffold4494	unlocalized-scaffold	1	Chromosome	AADN04004049.1	=	NT_456271.1	Primary Assembly	15758	na
chr1random_Scaffold4549	unlocalized-scaffold	1	Chromosome	AADN04004101.1	=	NT_456272.1	Primary Assembly	15644	na
chr1random_Scaffold4557	unlocalized-scaffold	1	Chromosome	AADN04004109.1	=	NT_456273.1	Primary Assembly	15637	na
chr1random_Scaffold4564	unlocalized-scaffold	1	Chromosome	AADN04004116.1	=	NT_456274.1	Primary Assembly	15609	na
chr1random_Scaffold4567	unlocalized-scaffold	1	Chromosome	AADN04004119.1	=	NT_456275.1	Primary Assembly	15705	na
chr1random_Scaffold4585	unlocalized-scaffold	1	Chromosome	AADN04004137.1	=	NT_456276.1	Primary Assembly	15586	na
chr1random_Scaffold4587	unlocalized-scaffold	1	Chromosome	AADN04004139.1	=	NT_456277.1	Primary Assembly	15581	na
